statename,year,county,status,combustion_technology,emission_factor_kg_of_co2_per_tj,annual_co2_million_tonnes_annum,lifetime_co2
Alabama,1969,Mobile,operating,subcritical,94600,2.1,4.2
Alabama,1971,Mobile,operating,supercritical,94600,3.7,25.9
North Carolina,1974,Stokes,operating,supercritical,94600,5.1,91.1
North Carolina,1975,Stokes,operating,supercritical,94600,5.1,91.1
Michigan,1984,St Clair,operating,subcritical,96100,3.4,24.1
Michigan,1985,St Clair,operating,subcritical,96100,3.4,24.1
Florida,1970,Hillsborough,operating,subcritical,94600,2.3,4.7
Florida,1973,Hillsborough,retired,subcritical,94600,2.3,0
Florida,1976,Hillsborough,operating,subcritical,94600,2.3,4.7
Florida,1985,Hillsborough,operating,subcritical,94600,2.4,7.1
Louisiana,1981,Pointe Coupee,operating,subcritical,96100,3.2,13
Louisiana,1983,Pointe Coupee,operating,subcritical,96100,3.1,3.1
South Dakota,1975,Grant,operating,subcritical,96100,2.2,11.2
Utah,1986,Uintah,operating,subcritical,94600,2.4,21.8
Minnesota,1973,Itasca,operating,subcritical,96100,1.9,17.5
Minnesota,1980,Itasca,operating,subcritical,96100,2.7,38.5
Louisiana,1982,Rapides,operating,subcritical,96100,2.7,19.2
Louisiana,2010,NA,operating,cfb,96100,3.1,85.5
Maryland,1984,Anne Arundel,operating,subcritical,94600,3.3,13.3
Maryland,1991,Anne Arundel,operating,subcritical,94600,3.3,13.3
Pennsylvania,1961,York,operating,subcritical,94600,1.9,13.3
Pennsylvania,1965,York,operating,subcritical,94600,2.1,14.9
Pennsylvania,1969,York,operating,supercritical,94600,3.7,25.9
Tennessee,1967,Anderson,operating,supercritical,94600,4.5,8.9
Iowa,1968,Des Moines,retired,subcritical,94600,1.2,0
Michigan,1962,Ottawa,operating,subcritical,96100,1.5,6.1
Michigan,1967,Ottawa,operating,supercritical,94600,2,8.2
Michigan,1980,Ottawa,operating,subcritical,94600,4.2,16.9
Ohio,1967,Jefferson,operating,supercritical,94600,2.9,26
Ohio,1967,Jefferson,operating,supercritical,94600,2.9,14.4
Ohio,1977,Jefferson,operating,supercritical,94600,3,15.2
Indiana,1970,Vermillion,operating,subcritical,94600,2.6,15.5
Indiana,1972,Vermillion,operating,subcritical,94600,2.6,15.5
Washington,1973,Lewis,operating,subcritical,96100,3.6,14.4
New Jersey,1993,Salem,retired,subcritical,94600,1.5,0
Pennsylvania,1964,NA,operating,subcritical,98300,0.4,2
Virginia,1964,Chesterfield,operating,subcritical,94600,1.9,3.8
Virginia,1969,Chesterfield,operating,subcritical,94600,3.4,6.7
Pennsylvania,1970,Allegheny,retired,subcritical,94600,3.1,0
Arizona,1962,Navajo,operating,subcritical,95350,0.6,2.6
Arizona,1980,Navajo,operating,subcritical,95350,1.6,6.6
Indiana,1955,Jefferson,operating,subcritical,95350,1.2,6.2
Indiana,1955,Jefferson,operating,subcritical,95350,1.2,6.2
Indiana,1955,Jefferson,operating,subcritical,95350,1.2,6.2
Indiana,1955,Jefferson,operating,subcritical,95350,1.2,6.2
Indiana,1955,Jefferson,operating,subcritical,95350,1.2,6.2
Indiana,1956,Jefferson,operating,subcritical,95350,1.2,6.2
Virginia,1995,Halifax,operating,subcritical,94600,2.1,8.6
Virginia,1996,Halifax,operating,subcritical,94600,2.1,8.6
North Dakota,1979,McLean,operating,subcritical,101000,3.1,15.7
North Dakota,1980,McLean,operating,subcritical,101000,3.1,15.7
Texas,1980,Goliad,operating,subcritical,96100,3,17.7
Montana,1984,Rosebud,operating,subcritical,96100,3.8,15.3
Montana,1986,Rosebud,operating,subcritical,96100,3.8,15.3
Wisconsin,1975,Columbia,operating,subcritical,96100,2.7,5.5
Wisconsin,1978,Columbia,operating,subcritical,96100,2.7,8.2
Nebraska,2010,NA,operating,subcritical,95350,0.4,10.2
Pennsylvania,1995,Cambria,operating,subcritical,94600,0.6,8.3
Colorado,1973,Pueblo,operating,subcritical,96100,2,2
Colorado,1975,Pueblo,operating,subcritical,96100,2.1,8.4
Colorado,2010,NA,operating,supercritical,96100,3.6,100.5
Pennsylvania,1970,Indiana,operating,supercritical,94600,4.4,30.7
Pennsylvania,1971,Indiana,operating,supercritical,94600,4.4,30.7
Kentucky,1965,Pulaski,operating,subcritical,94600,0.6,3.2
Kentucky,1969,Pulaski,operating,subcritical,94600,1.3,6.5
South Carolina,1996,Orangeburg,operating,subcritical,94600,2.1,18.9
Arizona,1979,Apache,operating,subcritical,96100,2.2,24.1
Arizona,1980,Apache,operating,subcritical,96100,2.2,24.1
North Dakota,1981,Mercer,operating,subcritical,101000,2.3,11.7
Colorado,1980,Moffat,operating,subcritical,96100,2.4,9.5
Colorado,1979,Moffat,operating,subcritical,96100,2.4,21.4
Colorado,1984,Moffat,operating,subcritical,96100,2.6,23.7
South Carolina,1984,Berkeley,operating,subcritical,94600,2.7,5.4
South Carolina,1995,Berkeley,operating,subcritical,94600,2.8,35.8
South Carolina,2007,Berkeley,operating,subcritical,94600,2.5,63.1
South Carolina,2008,Berkeley,operating,subcritical,94600,2.8,72.4
Florida,1982,Citrus,operating,subcritical,95350,3.6,18.1
Florida,1984,Citrus,operating,subcritical,95350,3.6,7.2
Tennessee,1973,Stewart,operating,supercritical,94600,6.1,30.5
Tennessee,1973,Stewart,operating,supercritical,94600,6.1,30.5
Illinois,2009,Sangamon,operating,subcritical,94600,1.2,31.3
Mississippi,1977,Jackson,operating,subcritical,94600,2.4,7.3
Mississippi,1981,Jackson,operating,subcritical,94600,2.4,14.6
Wyoming,1959,Converse,operating,subcritical,96100,0.6,3.9
Wyoming,1961,Converse,operating,subcritical,96100,0.6,3.9
Wyoming,1964,Converse,operating,subcritical,96100,1.3,7.9
Wyoming,1972,Converse,operating,subcritical,96100,1.9,11.5
Florida,1981,Alachua,operating,subcritical,94600,1.4,7.1
Wyoming,2011,Campbell,operating,subcritical,96100,2.1,60.9
Kentucky,1971,Mercer,operating,subcritical,94600,2.3,15.8
Kentucky,1981,Boone,operating,subcritical,94600,3.2,16.2
Pennsylvania,1990,NA,operating,subcritical,94600,0.3,2.6
Wisconsin,1985,Sheboygan,operating,subcritical,96100,2.2,2.2
Illinois,1968,Peoria,operating,subcritical,94600,1.6,1.6
Illinois,1972,Peoria,operating,subcritical,94600,1.9,1.9
Indiana,2013,NA,operating,igcc,96100,2.7,85
Wisconsin,2010,NA,operating,supercritical,96100,2.9,82.3
Wisconsin,2011,Milwaukee,operating,supercritical,94600,2.9,83.9
Michigan,1973,Eaton,operating,subcritical,96100,0.9,3.5
Indiana,1966,Warrick,operating,subcritical,94600,0.6,1.8
Indiana,1973,Warrick,operating,subcritical,94600,1.5,7.5
Texas,1979,Fayette,operating,subcritical,98550,3.1,15.5
Texas,1980,Fayette,operating,subcritical,98550,3.1,15.5
Texas,1988,Fayette,operating,subcritical,101000,2.4,14.3
Arkansas,1978,Benton,operating,subcritical,96100,2.7,13.7
West Virginia,1967,Monongalia,operating,supercritical,95350,2.7,13.6
West Virginia,1968,Monongalia,operating,supercritical,95350,2.7,13.6
New Mexico,1969,San Juan,operating,supercritical,96100,3.9,39
New Mexico,1970,San Juan,operating,supercritical,96100,3.9,39
North Carolina,1957,Gaston,operating,subcritical,94600,0.9,1.9
North Carolina,1961,Gaston,operating,subcritical,94600,1.5,3.1
Tennessee,1956,Sumner,operating,subcritical,94600,1.6,7.9
Tennessee,1957,Sumner,operating,subcritical,94600,1.6,7.9
Tennessee,1959,Sumner,operating,subcritical,94600,1.7,8.6
Tennessee,1959,Sumner,operating,subcritical,94600,1.7,8.6
Alabama,1974,Shelby,operating,supercritical,94600,4.5,31.2
Ohio,1974,Gallia,operating,supercritical,94600,6.1,30.5
Ohio,1975,Gallia,operating,supercritical,94600,6.1,30.5
Iowa,1975,Woodbury,operating,subcritical,96100,2.9,14.4
Iowa,1979,Woodbury,operating,subcritical,96100,3.4,17.1
Nebraska,1979,Lincoln,operating,subcritical,96100,3.4,16.8
Nebraska,1982,Lincoln,operating,subcritical,96100,3.4,16.8
Kentucky,1974,Carroll,operating,subcritical,94600,2.7,13.5
Kentucky,1977,Carroll,operating,subcritical,94600,2.7,13.5
Kentucky,1981,Carroll,operating,subcritical,94600,2.7,13.5
Kentucky,1984,Carroll,operating,subcritical,94600,2.7,5.4
Indiana,1975,Gibson,operating,supercritical,94600,3.1,43.8
Indiana,1976,Gibson,operating,supercritical,94600,3.1,43.8
Indiana,1978,Gibson,operating,supercritical,94600,3.1,25
Indiana,1979,Gibson,operating,supercritical,94600,3.1,25
Indiana,1982,Gibson,operating,supercritical,94600,3.1,12.5
Oklahoma,1985,Mayes,operating,subcritical,95350,2.9,8.7
West Virginia,1992,NA,operating,subcritical,94600,0.5,5.4
Kentucky,1979,Henderson,operating,subcritical,94600,1.6,1.6
Kentucky,1981,Henderson,operating,subcritical,94600,1.6,1.6
Montana,2006,Big Horn,operating,subcritical,96100,0.6,14.2
Texas,1976,Potter,operating,subcritical,96100,1.9,7.7
Texas,1978,Potter,operating,subcritical,96100,1.9,7.7
Texas,1980,Potter,operating,subcritical,96100,1.9,7.7
West Virginia,1972,Harrison,operating,supercritical,94600,3.2,16
West Virginia,1973,Harrison,operating,supercritical,94600,3.2,16
West Virginia,1974,Harrison,operating,supercritical,94600,3.2,16
Missouri,2001,Jackson,operating,subcritical,96100,2.7,50.8
Colorado,1965,Routt,operating,subcritical,94600,1.1,7.5
Colorado,1976,Routt,operating,subcritical,94600,1.4,8.7
Alaska,2015,NA,operating,subcritical,96100,0.2,0.7
Maryland,1966,Anne Arundel,operating,supercritical,94600,1.8,7.3
North Dakota,1954,Morton,retired,subcritical,97800,0.2,0
North Dakota,1963,Morton,retired,subcritical,97800,0.4,0
Kansas,1983,Finney,operating,subcritical,96100,1.9,1.9
Pennsylvania,1969,Indiana,operating,supercritical,94600,3.1,15.5
Pennsylvania,1969,Indiana,operating,supercritical,94600,3.1,15.5
Pennsylvania,1977,Indiana,operating,subcritical,94600,3.4,16.8
Oklahoma,1982,Choctaw,operating,subcritical,96100,2.4,11.9
Utah,1978,Emery,operating,subcritical,96100,2.6,12.9
Utah,1980,Emery,operating,subcritical,96100,2.6,12.9
Utah,1983,Emery,operating,subcritical,96100,2.6,2.6
Utah,1974,Emery,operating,subcritical,96100,2.4,36.7
Utah,1977,Emery,operating,subcritical,96100,2.7,40
Missouri,1980,Platte,operating,subcritical,96100,3.6,64.4
Missouri,2010,Platte,operating,supercritical,96100,3.8,107.2
Arkansas,1983,Independence,operating,subcritical,96100,4.4,39.9
Arkansas,1984,Independence,operating,subcritical,96100,4.4,39.9
Delaware,1980,Sussex,operating,subcritical,94600,2.3,11.7
Utah,1986,Millard,operating,subcritical,94600,4,15.9
Utah,1987,Millard,operating,subcritical,94600,4,15.9
Texas,1992,Bexar,operating,subcritical,96100,2.8,27.9
Texas,2010,NA,operating,subcritical,96100,3.8,106.6
North Carolina,1972,Cleveland,operating,subcritical,94600,3,84.3
North Carolina,2012,Cleveland,operating,supercritical,94600,3.8,105
Kansas,1978,Pottawatomie,operating,subcritical,96100,3.5,63.9
Kansas,1980,Pottawatomie,operating,subcritical,96100,3.5,31.9
Kansas,1983,Pottawatomie,operating,subcritical,96100,3.5,31.9
Wyoming,1974,Sweetwater,operating,subcritical,96100,3,6
Wyoming,1975,Sweetwater,operating,subcritical,96100,3,6.1
Wyoming,1976,Sweetwater,operating,subcritical,96100,3,48
Wyoming,1979,Sweetwater,operating,subcritical,96100,3,48
Pennsylvania,1988,NA,operating,subcritical,98300,0.5,3.1
Wisconsin,1979,Buffalo,operating,subcritical,96100,2.1,10.3
Missouri,1976,Greene,operating,subcritical,94600,1.1,6.5
Missouri,2011,Greene,operating,subcritical,96100,1.4,41.2
Arkansas,2012,Hempstead,operating,ultra-super,96100,2.5,75.3
Illinois,1953,Massac,operating,subcritical,96100,1,1
Illinois,1953,Massac,operating,subcritical,96100,1,1
Illinois,1954,Massac,operating,subcritical,96100,1,1
Illinois,1954,Massac,operating,subcritical,96100,1,1
Illinois,1955,Massac,operating,subcritical,96100,1,1
Illinois,1955,Massac,operating,subcritical,96100,1,1
Michigan,1959,Bay,operating,subcritical,94600,1.5,2.9
Michigan,1961,Bay,operating,subcritical,94600,1.5,2.9
Pennsylvania,1967,Armstrong,operating,supercritical,94600,4.4,30.7
Pennsylvania,1968,Armstrong,operating,supercritical,94600,4.4,30.7
Illinois,1967,Christian,operating,subcritical,94600,3.2,19.2
Illinois,1968,Christian,operating,subcritical,94600,3.2,19.2
Tennessee,1954,Roane,operating,subcritical,95350,1,5
Tennessee,1954,Roane,operating,subcritical,95350,1,5
Tennessee,1954,Roane,operating,subcritical,95350,1,5
Tennessee,1954,Roane,operating,subcritical,95350,1,5
Tennessee,1955,Roane,operating,subcritical,95350,1.1,5.7
Tennessee,1955,Roane,operating,subcritical,95350,1.1,5.7
Tennessee,1955,Roane,operating,subcritical,95350,1.1,5.7
Tennessee,1955,Roane,operating,subcritical,95350,1.1,5.7
Tennessee,1955,Roane,operating,subcritical,95350,1.1,5.7
Ohio,1955,Gallia,operating,subcritical,95350,1.2,6.2
Ohio,1955,Gallia,operating,subcritical,95350,1.2,6.2
Ohio,1955,Gallia,operating,subcritical,95350,1.2,6.2
Ohio,1955,Gallia,operating,subcritical,95350,1.2,6.2
Ohio,1955,Gallia,operating,subcritical,95350,1.2,6.2
Kansas,1973,Linn,operating,supercritical,95350,4.2,46.4
Kansas,1977,Linn,operating,subcritical,96100,3.4,60.8
Missouri,1970,Franklin,operating,subcritical,96100,2.8,42.4
Missouri,1971,Franklin,operating,subcritical,96100,2.8,42.4
Missouri,1972,Franklin,operating,subcritical,96100,3.1,64.3
Missouri,1973,Franklin,operating,subcritical,96100,3.1,64.3
Iowa,1977,Allamakee,operating,subcritical,96100,1.6,1.6
Wyoming,1981,Platte,operating,subcritical,96100,2.8,14
Wyoming,1981,Platte,operating,subcritical,96100,2.8,14
Wyoming,1982,Platte,operating,subcritical,96100,2.8,14
Kansas,1960,Douglas,operating,subcritical,96100,0.7,1.3
Kansas,1971,Douglas,operating,subcritical,96100,2.1,4.3
North Dakota,1966,Mercer,operating,subcritical,98550,1.3,6.3
North Dakota,1975,Mercer,operating,subcritical,98550,2.4,12
Texas,1985,Limestone,operating,subcritical,101000,4.6,13.9
Texas,1986,Limestone,operating,subcritical,101000,5,19.8
New Jersey,1994,Gloucester,retired,subcritical,94600,1.3,0
Nebraska,1977,Dodge,operating,subcritical,96100,0.5,2.6
West Virginia,2011,Monongalia,operating,supercritical,94600,3.3,96.7
Iowa,1983,Louisa,operating,subcritical,96100,4,4
Texas,1990,Robertson,operating,subcritical,98550,1,8.2
Texas,1991,Robertson,operating,subcritical,98550,1,9.2
Illinois,1963,Williamson,operating,subcritical,94600,0.2,0.9
Illinois,1963,Williamson,operating,subcritical,94600,0.2,0.9
Illinois,1963,Williamson,operating,subcritical,94600,0.2,0.9
North Carolina,1965,Catawba,operating,subcritical,94600,1.8,25.7
North Carolina,1966,Catawba,operating,subcritical,94600,1.8,25.7
North Carolina,1969,Catawba,operating,supercritical,94600,3,42.5
North Carolina,1970,Catawba,operating,supercritical,94600,3,42.5
Texas,1977,Rusk,operating,supercritical,98550,3.9,19.4
Texas,1978,Rusk,operating,supercritical,98550,3.9,19.4
Texas,1979,Rusk,operating,supercritical,98550,3.9,19.4
North Carolina,1983,Person,operating,subcritical,94600,3.6,28.6
Missouri,1959,St Louis,operating,subcritical,95350,1.6,1.6
Missouri,1961,St Louis,operating,subcritical,95350,1.9,1.9
Indiana,1982,Sullivan,operating,subcritical,94600,2.6,5.2
Indiana,1983,Sullivan,operating,subcritical,94600,2.6,5.2
New Hampshire,1960,Merrimack,operating,subcritical,94600,0.6,3.2
New Hampshire,1968,Merrimack,operating,subcritical,94600,1.8,9.1
Ohio,1975,Hamilton,operating,subcritical,94600,2.7,16.2
Ohio,1978,Hamilton,operating,subcritical,94600,2.7,16.2
Indiana,1974,La Porte,operating,supercritical,95350,2.6,17.9
Kentucky,1972,Jefferson,operating,subcritical,94600,1.9,5.6
Kentucky,1974,Jefferson,operating,subcritical,94600,1.9,13
Kentucky,1978,Jefferson,operating,subcritical,94600,2.2,11.2
Kentucky,1982,Jefferson,operating,subcritical,94600,2.6,13.2
Alabama,1978,Jefferson,operating,subcritical,96100,3.5,17.4
Alabama,1985,Jefferson,operating,subcritical,96100,3.5,10.4
Alabama,1989,Jefferson,operating,subcritical,96100,3.5,24.3
Alabama,1991,Jefferson,operating,subcritical,96100,3.5,31.3
North Dakota,1970,Oliver,operating,subcritical,101000,1.6,8.2
North Dakota,1977,Oliver,operating,subcritical,101000,2.6,12.8
West Virginia,1971,Marshall,operating,supercritical,94600,3.8,19.1
West Virginia,1971,Marshall,operating,supercritical,94600,3.8,19.1
Michigan,1971,Monroe,operating,supercritical,94600,3.8,72.8
Michigan,1973,Monroe,operating,supercritical,94600,3.9,73.3
Michigan,1973,Monroe,operating,supercritical,94600,3.9,73.3
Michigan,1974,Monroe,operating,supercritical,94600,3.8,72.8
Pennsylvania,1971,Montour,operating,supercritical,94600,4.1,16.2
Pennsylvania,1973,Montour,operating,supercritical,94600,4.2,16.7
Maryland,1970,Charles,retired,supercritical,94600,2.9,0
Maryland,1971,Charles,retired,supercritical,94600,2.9,0
Pennsylvania,1990,NA,operating,subcritical,98300,0.3,2.2
West Virginia,1965,Grant,operating,subcritical,94600,2.8,13.8
West Virginia,1966,Grant,operating,subcritical,94600,2.8,13.8
West Virginia,1973,Grant,operating,subcritical,94600,2.5,12.7
West Virginia,1980,Mason,operating,supercritical,94600,6.1,30.5
Iowa,1969,Muscatine,operating,subcritical,96100,0.4,0.9
Iowa,1983,Muscatine,operating,subcritical,96100,1,1
Oklahoma,1984,Muskogee,operating,subcritical,96100,2.8,5.6
Wyoming,1963,Lincoln,operating,subcritical,96100,1.1,4.4
Wyoming,1968,Lincoln,operating,subcritical,96100,1.5,5.9
Kansas,1981,Wyandotte,operating,subcritical,96100,1.5,7.5
Nebraska,1979,Otoe,operating,subcritical,96100,3.2,16.1
Nebraska,2009,Otoe,operating,subcritical,96100,3.2,86.4
Wyoming,1995,Campbell,operating,subcritical,96100,0.4,5.7
Missouri,1972,New Madrid,operating,subcritical,96100,3.2,16
Missouri,1977,New Madrid,operating,subcritical,96100,3.2,16
Illinois,1977,Jasper,operating,subcritical,96100,3,18.3
Nebraska,1963,Douglas,operating,subcritical,96100,0.8,1.6
Nebraska,1968,Douglas,operating,subcritical,96100,1.2,2.5
Nevada,1981,Humboldt,operating,subcritical,94600,1.6,0
Nevada,1985,Humboldt,operating,subcritical,94600,1.6,6.5
Pennsylvania,1995,Northampton,operating,subcritical,98300,0.8,9.8
Oklahoma,1979,Rogers,operating,supercritical,96100,2.3,11.3
Florida,2002,Duval,operating,subcritical,96100,1.6,32.8
Florida,2002,Duval,operating,subcritical,96100,1.6,32.8
Texas,2010,Robertson,operating,supercritical,101000,4,113
Texas,2011,Robertson,operating,supercritical,101000,3.9,112.2
Iowa,1981,Wapello,operating,subcritical,96100,3.6,17.9
Pennsylvania,1992,NA,operating,subcritical,98300,0.5,5.5
Texas,1977,Fort Bend,operating,subcritical,96100,3.6,18.1
Texas,1978,Fort Bend,operating,subcritical,96100,3.6,18.1
Texas,1980,Fort Bend,operating,subcritical,96100,3,15.1
Texas,1982,Fort Bend,operating,subcritical/ccs,9610,0.5,2.4
Colorado,1981,Morgan,operating,subcritical,96100,2.7,19
Indiana,1969,Pike,operating,subcritical,94600,2.5,5.1
Indiana,1977,Pike,operating,subcritical,94600,3.3,16.3
Indiana,1986,Pike,operating,subcritical,94600,3.3,13
Texas,1985,Harrison,operating,subcritical,101000,3.7,7.5
Georgia,1971,Bartow,operating,supercritical,94600,3.8,26.4
Georgia,1972,Bartow,operating,supercritical,94600,3.7,25.9
Georgia,1974,Bartow,operating,supercritical,94600,4.5,62.5
Georgia,1975,Bartow,operating,supercritical,94600,4.5,62.5
Nebraska,1982,Hall,operating,subcritical,96100,0.6,3.1
West Virginia,1979,Pleasants,operating,supercritical,94600,3.2,6.4
West Virginia,1980,Pleasants,operating,supercritical,94600,3.2,6.4
Arkansas,2010,NA,operating,subcritical,96100,3.1,87.4
Florida,1986,NA,operating,igcc,96100,1,3.8
Illinois,1972,Tazewell,operating,subcritical,96100,4.4,39.6
Illinois,1975,Tazewell,operating,subcritical,96100,4.4,39.6
Iowa,1958,Linn,operating,subcritical,94600,0.3,1.1
Illinois,2012,St. Clair,operating,supercritical,94600,3.6,109.3
Illinois,2012,St. Clair,operating,supercritical,94600,3.6,109.3
Colorado,1984,Larimer,operating,subcritical,96100,1.7,15.1
Colorado,1980,El Paso,operating,subcritical,94600,1.2,10.5
Mississippi,2001,Choctaw,operating,subcritical,101000,2.6,48.5
Oklahoma,1990,Leflore,operating,subcritical,94600,1,7.9
Oklahoma,1990,Leflore,operating,subcritical,94600,1,7.9
Indiana,1984,Spencer,operating,supercritical,96100,6.2,43.3
Indiana,1989,Spencer,operating,supercritical,96100,6.2,43.3
Montana,1990,NA,operating,subcritical,94600,0.2,1.9
North Carolina,1966,Person,operating,subcritical,94600,2.2,17.2
North Carolina,1968,Person,operating,subcritical,94600,3.2,25.5
North Carolina,1973,Person,operating,subcritical,94600,3.6,28.9
North Carolina,1980,Person,operating,subcritical,94600,3.6,28.9
Louisiana,1982,Calcasieu,operating,subcritical,96100,3,15.1
Missouri,1976,Jefferson,operating,subcritical,96100,3.1,9.2
Missouri,1977,Jefferson,operating,subcritical,96100,3.1,9.2
Ohio,1967,Jefferson,operating,subcritical,95350,1.8,3.5
Ohio,1969,Jefferson,operating,supercritical,95350,3.2,6.4
Ohio,1971,Jefferson,operating,supercritical,95350,3.2,6.4
New Mexico,1973,San Juan,operating,subcritical,96100,2,9.8
New Mexico,1982,San Juan,operating,subcritical,96100,2.7,13.7
Texas,1982,Atascosa,operating,subcritical,101000,2.3,11.5
Texas,2013,McLennan,operating,supercritical,96100,3.8,119
Indiana,1983,Jasper,operating,subcritical,94600,2.2,4.4
Indiana,1986,Jasper,operating,subcritical,94600,2.2,4.4
Georgia,1982,Monroe,operating,subcritical,96100,4.4,22
Georgia,1984,Monroe,operating,subcritical,96100,4.4,8.8
Georgia,1987,Monroe,operating,subcritical,96100,4.4,30.7
New Hampshire,1952,Rockingham,operating,subcritical,94600,0.3,1.3
New Hampshire,1957,Rockingham,operating,subcritical,94600,0.3,1.3
Pennsylvania,1993,NA,operating,subcritical,94600,0.5,5.7
Florida,1984,Putnam,operating,subcritical,94600,3.6,7.1
