"county","county_ascii","county_full","county_fips","state_id","state_name","lat","lng","population"
"Suffolk","Suffolk","Suffolk County","36103","NY","New York","40.8686","-72.8448","1522998"
"Palm Beach","Palm Beach","Palm Beach County","12099","FL","Florida","26.6476","-80.4655","1481233"
"Bronx","Bronx","Bronx County","36005","NY","New York","40.8501","-73.8660","1468262"
"Hillsborough","Hillsborough","Hillsborough County","12057","FL","Florida","27.9291","-82.3091","1444359"
"Orange","Orange","Orange County","12095","FL","Florida","28.5145","-81.3236","1409949"
"Nassau","Nassau","Nassau County","36059","NY","New York","40.7328","-73.5865","1391678"
"Franklin","Franklin","Franklin County","39049","OH","Ohio","39.9695","-83.0093","1313598"
"Oakland","Oakland","Oakland County","26125","MI","Michigan","42.6604","-83.3858","1271983"
"Hennepin","Hennepin","Hennepin County","27053","MN","Minnesota","45.0045","-93.4770","1270283"
"Travis","Travis","Travis County","48453","TX","Texas","30.3344","-97.7820","1267795"
"Cuyahoga","Cuyahoga","Cuyahoga County","39035","OH","Ohio","41.4243","-81.6586","1263667"
"Allegheny","Allegheny","Allegheny County","42003","PA","Pennsylvania","40.4688","-79.9812","1246116"
"Salt Lake","Salt Lake","Salt Lake County","49035","UT","Utah","40.6673","-111.9236","1173331"
"Contra Costa","Contra Costa","Contra Costa County","06013","CA","California","37.9192","-121.9277","1161643"
"Fairfax","Fairfax","Fairfax County","51059","VA","Virginia","38.8368","-77.2770","1146825"
"Wake","Wake","Wake County","37183","NC","North Carolina","35.7903","-78.6503","1112883"
"Mecklenburg","Mecklenburg","Mecklenburg County","37119","NC","North Carolina","35.2467","-80.8328","1100984"
"Montgomery","Montgomery","Montgomery County","24031","MD","Maryland","39.1363","-77.2042","1057201"
"Fulton","Fulton","Fulton County","13121","GA","Georgia","33.7903","-84.4670","1054286"
"Collin","Collin","Collin County","48085","TX","Texas","33.1880","-96.5724","1039812"
"Pima","Pima","Pima County","04019","AZ","Arizona","32.0974","-111.7899","1035063"
"Honolulu","Honolulu","Honolulu County","15003","HI","Hawaii","21.5008","-158.1053","1015167"
"Fresno","Fresno","Fresno County","06019","CA","California","36.7582","-119.6493","1003150"
"St. Louis","St. Louis","St. Louis County","29189","MO","Missouri","38.6407","-90.4434","1001982"
"Westchester","Westchester","Westchester County","36119","NY","New York","41.1624","-73.7561","999723"
"Duval","Duval","Duval County","12031","FL","Florida","30.3316","-81.6708","983153"
"Marion","Marion","Marion County","18097","IN","Indiana","39.7817","-86.1385","969542"
"Pinellas","Pinellas","Pinellas County","12103","FL","Florida","27.9200","-82.7256","957989"
"Prince George's","Prince George's","Prince George's County","24033","MD","Maryland","38.8295","-76.8473","957767"
"Fairfield","Fairfield","Fairfield County","09001","CT","Connecticut","41.2710","-73.3893","956446"
"Bergen","Bergen","Bergen County","34003","NJ","New Jersey","40.9597","-74.0742","952979"
"Erie","Erie","Erie County","36029","NY","New York","42.7640","-78.7323","949715"
"Gwinnett","Gwinnett","Gwinnett County","13135","GA","Georgia","33.9617","-84.0236","948505"
"Milwaukee","Milwaukee","Milwaukee County","55079","WI","Wisconsin","43.0072","-87.9669","939123"
"DuPage","DuPage","DuPage County","17043","IL","Illinois","41.8520","-88.0856","934094"
"Shelby","Shelby","Shelby County","47157","TN","Tennessee","35.1842","-89.8940","929178"
"Pierce","Pierce","Pierce County","53053","WA","Washington","47.0241","-122.1046","910225"
"Kern","Kern","Kern County","06029","CA","California","35.3426","-118.7301","905644"
"Hartford","Hartford","Hartford County","09003","CT","Connecticut","41.8064","-72.7329","898636"
"Denton","Denton","Denton County","48121","TX","Texas","33.2055","-97.1168","885012"
"Macomb","Macomb","Macomb County","26099","MI","Michigan","42.6957","-82.9323","879123"
"San Francisco","San Francisco","San Francisco County","06075","CA","California","37.7558","-122.4449","865933"
"Hidalgo","Hidalgo","Hidalgo County","48215","TX","Texas","26.3969","-98.1812","865677"
"New Haven","New Haven","New Haven County","09009","CT","Connecticut","41.4106","-72.9321","864751"
"El Paso","El Paso","El Paso County","48141","TX","Texas","31.7686","-106.2348","860485"
"Middlesex","Middlesex","Middlesex County","34023","NJ","New Jersey","40.4392","-74.4117","858770"
"Worcester","Worcester","Worcester County","25027","MA","Massachusetts","42.3514","-71.9077","856858"
"Essex","Essex","Essex County","34013","NJ","New Jersey","40.7872","-74.2470","852720"
"Montgomery","Montgomery","Montgomery County","42091","PA","Pennsylvania","40.2108","-75.3673","850890"
"Baltimore","Baltimore","Baltimore County","24005","MD","Maryland","39.4627","-76.6393","850702"
"Ventura","Ventura","Ventura County","06111","CA","California","34.4561","-119.0836","845255"
"Hamilton","Hamilton","Hamilton County","39061","OH","Ohio","39.1955","-84.5428","826790"
"Snohomish","Snohomish","Snohomish County","53061","WA","Washington","48.0475","-121.6975","820024"
"Multnomah","Multnomah","Multnomah County","41051","OR","Oregon","45.5468","-122.4148","810011"
"Fort Bend","Fort Bend","Fort Bend County","48157","TX","Texas","29.5275","-95.7709","806497"
"Essex","Essex","Essex County","25009","MA","Massachusetts","42.6732","-70.9520","804598"
"Suffolk","Suffolk","Suffolk County","25025","MA","Massachusetts","42.3333","-71.0719","792647"
"Oklahoma","Oklahoma","Oklahoma County","40109","OK","Oklahoma","35.5515","-97.4072","790938"
"Jefferson","Jefferson","Jefferson County","21111","KY","Kentucky","38.1872","-85.6591","780449"
"San Joaquin","San Joaquin","San Joaquin County","06077","CA","California","37.9348","-121.2714","771406"
"Cobb","Cobb","Cobb County","13067","GA","Georgia","33.9415","-84.5767","762500"
"San Mateo","San Mateo","San Mateo County","06081","CA","California","37.4229","-122.3290","762488"
"DeKalb","DeKalb","DeKalb County","13089","GA","Georgia","33.7715","-84.2264","758634"
"Monroe","Monroe","Monroe County","36055","NY","New York","43.1464","-77.6961","757332"
"Lee","Lee","Lee County","12071","FL","Florida","26.5779","-81.8337","752251"
"El Paso","El Paso","El Paso County","08041","CO","Colorado","38.8321","-104.5254","722736"
"Norfolk","Norfolk","Norfolk County","25021","MA","Massachusetts","42.1605","-71.2115","720403"
"Lake","Lake","Lake County","17097","IL","Illinois","42.3233","-88.0037","714484"
"Hudson","Hudson","Hudson County","34017","NJ","New Jersey","40.7371","-74.0779","713264"
"Jackson","Jackson","Jackson County","29095","MO","Missouri","39.0085","-94.3461","713229"
"Polk","Polk","Polk County","12105","FL","Florida","27.9489","-81.6976","713148"
"Davidson","Davidson","Davidson County","47037","TN","Tennessee","36.1695","-86.7847","708490"
"Denver","Denver","Denver County","08031","CO","Colorado","39.7620","-104.8758","706799"
"Will","Will","Will County","17197","IL","Illinois","41.4450","-87.9786","696403"
"District of Columbia","District of Columbia","District of Columbia","11001","DC","District of Columbia","38.9047","-77.0163","683154"
"Bernalillo","Bernalillo","Bernalillo County","35001","NM","New Mexico","35.0514","-106.6702","674919"
"Jefferson","Jefferson","Jefferson County","01073","AL","Alabama","33.5543","-86.8964","672550"
"Tulsa","Tulsa","Tulsa County","40143","OK","Oklahoma","36.1211","-95.9415","664084"
"Providence","Providence","Providence County","44007","RI","Rhode Island","41.8721","-71.5800","656672"
"Kent","Kent","Kent County","26081","MI","Michigan","43.0322","-85.5493","654958"
"Arapahoe","Arapahoe","Arapahoe County","08005","CO","Colorado","39.6498","-104.3393","651621"
"Utah","Utah","Utah County","49049","UT","Utah","40.1199","-111.6703","648265"
"Bucks","Bucks","Bucks County","42017","PA","Pennsylvania","40.3370","-75.1069","643872"
"Monmouth","Monmouth","Monmouth County","34025","NJ","New Jersey","40.2603","-74.2213","642160"
"Ocean","Ocean","Ocean County","34029","NJ","New Jersey","39.8855","-74.2813","630057"
"Montgomery","Montgomery","Montgomery County","48339","TX","Texas","30.3002","-95.5030","607999"
"Johnson","Johnson","Johnson County","20091","KS","Kansas","38.8838","-94.8223","605154"
"Brevard","Brevard","Brevard County","12009","FL","Florida","28.2937","-80.7323","601573"
"Washington","Washington","Washington County","41067","OR","Oregon","45.5600","-123.0984","596969"
"Baltimore","Baltimore","Baltimore City","24510","MD","Maryland","39.3051","-76.6144","592211"
"Williamson","Williamson","Williamson County","48491","TX","Texas","30.6475","-97.6004","591759"
"Anne Arundel","Anne Arundel","Anne Arundel County","24003","MD","Maryland","39.0065","-76.6051","584064"
"Jefferson","Jefferson","Jefferson County","08059","CO","Colorado","39.5864","-105.2505","580130"
"Douglas","Douglas","Douglas County","31055","NE","Nebraska","41.2953","-96.1543","578771"
"Bristol","Bristol","Bristol County","25005","MA","Massachusetts","41.7972","-71.1144","576070"
"Delaware","Delaware","Delaware County","42045","PA","Pennsylvania","39.9167","-75.3991","573883"
"Union","Union","Union County","34039","NJ","New Jersey","40.6601","-74.3087","571963"
"New Castle","New Castle","New Castle County","10003","DE","Delaware","39.5768","-75.6527","567769"
"Dane","Dane","Dane County","55025","WI","Wisconsin","43.0673","-89.4181","555474"
"Pasco","Pasco","Pasco County","12101","FL","Florida","28.3091","-82.3932","551598"
"Stanislaus","Stanislaus","Stanislaus County","06099","CA","California","37.5591","-120.9977","550842"
"Lancaster","Lancaster","Lancaster County","42071","PA","Pennsylvania","40.0424","-76.2477","550480"
"Ramsey","Ramsey","Ramsey County","27123","MN","Minnesota","45.0171","-93.0996","549377"
"Volusia","Volusia","Volusia County","12127","FL","Florida","29.0584","-81.1819","548783"
"Summit","Summit","Summit County","39153","OH","Ohio","41.1260","-81.5322","540567"
"Guilford","Guilford","Guilford County","37081","NC","North Carolina","36.0795","-79.7889","537113"
"Montgomery","Montgomery","Montgomery County","39113","OH","Ohio","39.7547","-84.2907","536136"
"Chester","Chester","Chester County","42029","PA","Pennsylvania","39.9731","-75.7484","531704"
"Spokane","Spokane","Spokane County","53063","WA","Washington","47.6207","-117.4040","531477"
"Plymouth","Plymouth","Plymouth County","25023","MA","Massachusetts","41.9512","-70.8114","527602"
"Camden","Camden","Camden County","34007","NJ","New Jersey","39.8035","-74.9597","521194"
"Passaic","Passaic","Passaic County","34031","NJ","New Jersey","41.0343","-74.3008","521067"
"Sedgwick","Sedgwick","Sedgwick County","20173","KS","Kansas","37.6848","-97.4610","520467"
"Greenville","Greenville","Greenville County","45045","SC","South Carolina","34.8941","-82.3706","519178"
"Kane","Kane","Kane County","17089","IL","Illinois","41.9388","-88.4286","518648"
"Adams","Adams","Adams County","08001","CO","Colorado","39.8736","-104.3379","514969"
"Morris","Morris","Morris County","34027","NJ","New Jersey","40.8620","-74.5445","508347"
"Clark","Clark","Clark County","53011","WA","Washington","45.7792","-122.4825","496494"
"Lake","Lake","Lake County","18089","IN","Indiana","41.4167","-87.3821","495925"
"Richmond","Richmond","Richmond County","36085","NY","New York","40.5808","-74.1524","493194"
"Sonoma","Sonoma","Sonoma County","06097","CA","California","38.5289","-122.8881","492498"
"Polk","Polk","Polk County","19153","IA","Iowa","41.6854","-93.5734","488871"
"Ada","Ada","Ada County","16001","ID","Idaho","43.4511","-116.2412","485246"
"Washoe","Washoe","Washoe County","32031","NV","Nevada","40.6655","-119.6643","479758"
"Prince William","Prince William","Prince William County","51153","VA","Virginia","38.7029","-77.4809","477224"
"Knox","Knox","Knox County","47093","TN","Tennessee","35.9932","-83.9371","475286"
"Onondaga","Onondaga","Onondaga County","36067","NY","New York","43.0058","-76.1946","474621"
"Tulare","Tulare","Tulare County","06107","CA","California","36.2202","-118.8005","470999"
"Seminole","Seminole","Seminole County","12117","FL","Florida","28.7170","-81.2363","467382"
"Hampden","Hampden","Hampden County","25013","MA","Massachusetts","42.1351","-72.6316","466265"
"Burlington","Burlington","Burlington County","34005","NJ","New Jersey","39.8777","-74.6681","460102"
"Virginia Beach","Virginia Beach","Virginia Beach City","51810","VA","Virginia","36.7335","-76.0435","457658"
"East Baton Rouge","East Baton Rouge","East Baton Rouge Parish","22033","LA","Louisiana","30.5383","-91.0956","455447"
"York","York","York County","42133","PA","Pennsylvania","39.9200","-76.7265","454605"
"Solano","Solano","Solano County","06095","CA","California","38.2700","-121.9329","451432"
"Santa Barbara","Santa Barbara","Santa Barbara County","06083","CA","California","34.6729","-120.0169","447651"
"Jefferson","Jefferson","Jefferson Parish","22051","LA","Louisiana","29.7872","-90.1274","439402"
"Monterey","Monterey","Monterey County","06053","CA","California","36.2171","-121.2388","438953"
"Dakota","Dakota","Dakota County","27037","MN","Minnesota","44.6719","-93.0654","435863"
"Lucas","Lucas","Lucas County","39095","OH","Ohio","41.6197","-83.6588","431212"
"Sarasota","Sarasota","Sarasota County","12115","FL","Florida","27.1845","-82.3315","429336"
"Berks","Berks","Berks County","42011","PA","Pennsylvania","40.4163","-75.9260","426967"
"Pinal","Pinal","Pinal County","04021","AZ","Arizona","32.9044","-111.3448","420625"
"Cameron","Cameron","Cameron County","48061","TX","Texas","26.1333","-97.5182","420554"
"Hillsborough","Hillsborough","Hillsborough County","33011","NH","New Hampshire","42.9153","-71.7161","420504"
"Clackamas","Clackamas","Clackamas County","41005","OR","Oregon","45.1880","-122.2209","418577"
"Richland","Richland","Richland County","45079","SC","South Carolina","34.0218","-80.9031","414719"
"Mobile","Mobile","Mobile County","01097","AL","Alabama","30.7872","-88.2058","414620"
"Loudoun","Loudoun","Loudoun County","51107","VA","Virginia","39.0907","-77.6357","413574"
"Genesee","Genesee","Genesee County","26049","MI","Michigan","43.0217","-83.7067","406400"
"Waukesha","Waukesha","Waukesha County","55133","WI","Wisconsin","43.0182","-88.3045","405332"
"Charleston","Charleston","Charleston County","45019","SC","South Carolina","32.8346","-79.9531","404946"
"St. Charles","St. Charles","St. Charles County","29183","MO","Missouri","38.7820","-90.6749","402377"
"Placer","Placer","Placer County","06061","CA","California","39.0634","-120.7177","400330"
"Orange","Orange","Orange County","36071","NY","New York","41.4022","-74.3056","398277"
"Pulaski","Pulaski","Pulaski County","05119","AR","Arkansas","34.7700","-92.3120","397931"
"Manatee","Manatee","Manatee County","12081","FL","Florida","27.4719","-82.3153","394824"
"Butler","Butler","Butler County","39017","OH","Ohio","39.4386","-84.5756","387830"
"Mercer","Mercer","Mercer County","34021","NJ","New Jersey","40.2834","-74.7018","384951"
"Orleans","Orleans","Orleans Parish","22071","LA","Louisiana","30.0687","-89.9288","383974"
"Madison","Madison","Madison County","01089","AL","Alabama","34.7631","-86.5502","382149"
"Allen","Allen","Allen County","18003","IN","Indiana","41.0909","-85.0666","381839"
"Forsyth","Forsyth","Forsyth County","37067","NC","North Carolina","36.1306","-80.2563","380583"
"Lane","Lane","Lane County","41039","OR","Oregon","43.9386","-122.8480","380532"
"Osceola","Osceola","Osceola County","12097","FL","Florida","28.0627","-81.1494","380331"
"Lake","Lake","Lake County","12069","FL","Florida","28.7615","-81.7113","375059"
"Stark","Stark","Stark County","39151","OH","Ohio","40.8139","-81.3656","374712"
"Collier","Collier","Collier County","12021","FL","Florida","26.1108","-81.3475","372797"
"Lehigh","Lehigh","Lehigh County","42077","PA","Pennsylvania","40.6127","-75.5923","372492"
"Washtenaw","Washtenaw","Washtenaw County","26161","MI","Michigan","42.2532","-83.8388","372428"
"Marion","Marion","Marion County","12083","FL","Florida","29.2102","-82.0567","370372"
"Brazoria","Brazoria","Brazoria County","48039","TX","Texas","29.1897","-95.4521","368575"
"Bell","Bell","Bell County","48027","TX","Texas","31.0373","-97.4788","364703"
"Hamilton","Hamilton","Hamilton County","47065","TN","Tennessee","35.1808","-85.1648","363790"
"Anoka","Anoka","Anoka County","27003","MN","Minnesota","45.2733","-93.2465","360773"
"Chesterfield","Chesterfield","Chesterfield County","51041","VA","Virginia","37.3785","-77.5870","359798"
"Davis","Davis","Davis County","49011","UT","Utah","40.9900","-112.1115","358831"
"Westmoreland","Westmoreland","Westmoreland County","42129","PA","Pennsylvania","40.3109","-79.4668","355107"
"Larimer","Larimer","Larimer County","08069","CO","Colorado","40.6664","-105.4612","354670"
"Nueces","Nueces","Nueces County","48355","TX","Texas","27.7254","-97.6134","353594"
"Douglas","Douglas","Douglas County","08035","CO","Colorado","39.3297","-104.9296","351929"
"Galveston","Galveston","Galveston County","48167","TX","Texas","29.3945","-94.9635","347084"
"Horry","Horry","Horry County","45051","SC","South Carolina","33.9214","-78.9966","344865"
"Marion","Marion","Marion County","41047","OR","Oregon","44.9033","-122.5845","344037"
"Somerset","Somerset","Somerset County","34035","NJ","New Jersey","40.5635","-74.6163","343950"
"Hamilton","Hamilton","Hamilton County","18057","IN","Indiana","40.0725","-86.0520","341616"
"Rockland","Rockland","Rockland County","36087","NY","New York","41.1525","-74.0242","336485"
"Rutherford","Rutherford","Rutherford County","47149","TN","Tennessee","35.8427","-86.4168","335595"
"Cumberland","Cumberland","Cumberland County","37051","NC","North Carolina","35.0487","-78.8277","333582"
"Henrico","Henrico","Henrico County","51087","VA","Virginia","37.5380","-77.4058","331924"
"Howard","Howard","Howard County","24027","MD","Maryland","39.2507","-76.9312","329248"
"Boulder","Boulder","Boulder County","08013","CO","Colorado","40.0925","-105.3577","328713"
"Luzerne","Luzerne","Luzerne County","42079","PA","Pennsylvania","41.1770","-75.9892","324825"
"St. Lucie","St. Lucie","St. Lucie County","12111","FL","Florida","27.3773","-80.4720","324599"
"Spartanburg","Spartanburg","Spartanburg County","45083","SC","South Carolina","34.9309","-81.9908","322864"
"Weld","Weld","Weld County","08123","CO","Colorado","40.5548","-104.3925","322424"
"Fayette","Fayette","Fayette County","21067","KY","Kentucky","38.0423","-84.4587","321354"
"Lancaster","Lancaster","Lancaster County","31109","NE","Nebraska","40.7842","-96.6878","320301"
"Durham","Durham","Durham County","37063","NC","North Carolina","36.0360","-78.8766","320146"
"Escambia","Escambia","Escambia County","12033","FL","Florida","30.6690","-87.3630","318828"
"Albany","Albany","Albany County","36001","NY","New York","42.6002","-73.9736","314679"
"Rockingham","Rockingham","Rockingham County","33015","NH","New Hampshire","42.9875","-71.1254","312771"
"Lorain","Lorain","Lorain County","39093","OH","Ohio","41.2957","-82.1510","311737"
"Northampton","Northampton","Northampton County","42095","PA","Pennsylvania","40.7542","-75.3076","311359"
"McHenry","McHenry","McHenry County","17111","IL","Illinois","42.3244","-88.4523","310749"
"Lubbock","Lubbock","Lubbock County","48303","TX","Texas","33.6102","-101.8205","308580"
"St. Louis","St. Louis","St. Louis City","29510","MO","Missouri","38.6359","-90.2451","302787"
"Gloucester","Gloucester","Gloucester County","34015","NJ","New Jersey","39.7173","-75.1414","300821"
"Cumberland","Cumberland","Cumberland County","23005","ME","Maine","43.8465","-70.3990","300776"
"Greene","Greene","Greene County","29077","MO","Missouri","37.2580","-93.3420","296875"
"Dutchess","Dutchess","Dutchess County","36027","NY","New York","41.7652","-73.7429","296012"
"Chatham","Chatham","Chatham County","13051","GA","Georgia","32.0043","-81.1329","294815"
"Clayton","Clayton","Clayton County","13063","GA","Georgia","33.5419","-84.3577","294335"
"Ottawa","Ottawa","Ottawa County","26139","MI","Michigan","42.9598","-85.9961","293713"
"Anchorage","Anchorage","Anchorage Municipality","02020","AK","Alaska","61.1508","-149.1091","292545"
"Cleveland","Cleveland","Cleveland County","40027","OK","Oklahoma","35.2031","-97.3265","292110"
"Lexington","Lexington","Lexington County","45063","SC","South Carolina","33.9023","-81.2722","291723"
"Leon","Leon","Leon County","12073","FL","Florida","30.4580","-84.2779","290965"
"Thurston","Thurston","Thurston County","53067","WA","Washington","46.9258","-122.8332","290642"
"Ingham","Ingham","Ingham County","26065","MI","Michigan","42.5971","-84.3735","285660"
"Winnebago","Winnebago","Winnebago County","17201","IL","Illinois","42.3363","-89.1609","285471"
"Dauphin","Dauphin","Dauphin County","42043","PA","Pennsylvania","40.4154","-76.7795","284199"
"San Luis Obispo","San Luis Obispo","San Luis Obispo County","06079","CA","California","35.3871","-120.4044","282771"
"Merced","Merced","Merced County","06047","CA","California","37.1919","-120.7177","279150"
"Benton","Benton","Benton County","05007","AR","Arkansas","36.3387","-94.2561","278774"
"York","York","York County","45091","SC","South Carolina","34.9748","-81.1845","276569"
"Alachua","Alachua","Alachua County","12001","FL","Florida","29.6747","-82.3577","276171"
"Atlantic","Atlantic","Atlantic County","34001","NJ","New Jersey","39.4777","-74.6610","273865"
"Kitsap","Kitsap","Kitsap County","53035","WA","Washington","47.6130","-122.6716","273072"
"Santa Cruz","Santa Cruz","Santa Cruz County","06087","CA","California","37.0562","-122.0018","272138"
"St. Joseph","St. Joseph","St. Joseph County","18141","IN","Indiana","41.6167","-86.2899","272049"
"Erie","Erie","Erie County","42049","PA","Pennsylvania","41.9925","-80.0327","271903"
"New London","New London","New London County","09011","CT","Connecticut","41.4867","-72.1014","269131"
"Frederick","Frederick","Frederick County","24021","MD","Maryland","39.4722","-77.3980","267498"
"Brown","Brown","Brown County","55009","WI","Wisconsin","44.4525","-88.0037","267364"
"Buncombe","Buncombe","Buncombe County","37021","NC","North Carolina","35.6112","-82.5301","266981"
"Webb","Webb","Webb County","48479","TX","Texas","27.7611","-99.3315","266963"
"Madison","Madison","Madison County","17119","IL","Illinois","38.8297","-89.9049","266112"
"St. Johns","St. Johns","St. Johns County","12109","FL","Florida","29.9016","-81.4407","265724"
"Washington","Washington","Washington County","27163","MN","Minnesota","45.0388","-92.8838","264818"
"St. Tammany","St. Tammany","St. Tammany Parish","22103","LA","Louisiana","30.4102","-89.9583","262799"
"Marin","Marin","Marin County","06041","CA","California","38.0735","-122.7235","262387"
"Cherokee","Cherokee","Cherokee County","13057","GA","Georgia","34.2440","-84.4763","262155"
"Kalamazoo","Kalamazoo","Kalamazoo County","26077","MI","Michigan","42.2455","-85.5312","261280"
"Weber","Weber","Weber County","49057","UT","Utah","41.2698","-111.9134","259390"
"Harford","Harford","Harford County","24025","MD","Maryland","39.5611","-76.3171","259162"
"St. Clair","St. Clair","St. Clair County","17163","IL","Illinois","38.4703","-89.9284","258597"
"McLennan","McLennan","McLennan County","48309","TX","Texas","31.5524","-97.2018","258031"
"Cumberland","Cumberland","Cumberland County","42041","PA","Pennsylvania","40.1636","-77.2655","257333"
"Jefferson","Jefferson","Jefferson County","48245","TX","Texas","29.8841","-94.1629","256755"
"Yakima","Yakima","Yakima County","53077","WA","Washington","46.4571","-120.7385","255151"
"Clay","Clay","Clay County","29047","MO","Missouri","39.3105","-94.4209","250134"
"Chesapeake","Chesapeake","Chesapeake City","51550","VA","Virginia","36.6778","-76.3024","247172"
"Forsyth","Forsyth","Forsyth County","13117","GA","Georgia","34.2255","-84.1251","245754"
"Washington","Washington","Washington County","05143","AR","Arkansas","35.9791","-94.2156","242793"
"Williamson","Williamson","Williamson County","47187","TN","Tennessee","35.8938","-86.8987","242386"
"Lafayette","Lafayette","Lafayette Parish","22055","LA","Louisiana","30.2068","-92.0639","241173"
"Caddo","Caddo","Caddo Parish","22017","LA","Louisiana","32.5806","-93.8823","239775"
"Warren","Warren","Warren County","39165","OH","Ohio","39.4277","-84.1668","239556"
"Norfolk","Norfolk","Norfolk City","51710","VA","Virginia","36.8945","-76.2590","238556"
"Henry","Henry","Henry County","13151","GA","Georgia","33.4530","-84.1542","236615"
"Arlington","Arlington","Arlington County","51013","VA","Virginia","38.8786","-77.1011","235764"
"Union","Union","Union County","37179","NC","North Carolina","34.9884","-80.5307","235699"
"Saratoga","Saratoga","Saratoga County","36091","NY","New York","43.1074","-73.8639","235010"
"Hays","Hays","Hays County","48209","TX","Texas","30.0579","-98.0312","234573"
"Sussex","Sussex","Sussex County","10005","DE","Delaware","38.6606","-75.3900","234045"
"Yavapai","Yavapai","Yavapai County","04025","AZ","Arizona","34.5998","-112.5538","233789"
"Lake","Lake","Lake County","39085","OH","Ohio","41.6963","-81.2373","232202"
"Oneida","Oneida","Oneida County","36065","NY","New York","43.2418","-75.4358","232034"
"Smith","Smith","Smith County","48423","TX","Texas","32.3750","-95.2692","231429"
"Brazos","Brazos","Brazos County","48041","TX","Texas","30.6608","-96.3024","231095"
"Hinds","Hinds","Hinds County","28049","MS","Mississippi","32.2667","-90.4428","230772"
"Montgomery","Montgomery","Montgomery County","01101","AL","Alabama","32.2203","-86.2076","229072"
"Mahoning","Mahoning","Mahoning County","39099","OH","Ohio","41.0146","-80.7763","229044"
"Linn","Linn","Linn County","19113","IA","Iowa","42.0790","-91.5990","228567"
"Barnstable","Barnstable","Barnstable County","25001","MA","Massachusetts","41.7244","-70.2904","227942"
"Canyon","Canyon","Canyon County","16027","ID","Idaho","43.6251","-116.7093","227367"
"Baldwin","Baldwin","Baldwin County","01003","AL","Alabama","30.7276","-87.7226","227131"
"Gaston","Gaston","Gaston County","37071","NC","North Carolina","35.2944","-81.1803","226097"
"Jefferson","Jefferson","Jefferson County","29099","MO","Missouri","38.2611","-90.5377","225913"
"Richmond","Richmond","Richmond City","51760","VA","Virginia","37.5295","-77.4756","225676"
"New Hanover","New Hanover","New Hanover County","37129","NC","North Carolina","34.2328","-77.8847","225175"
"Berkeley","Berkeley","Berkeley County","45015","SC","South Carolina","33.1973","-79.9522","224806"
"Whatcom","Whatcom","Whatcom County","53073","WA","Washington","48.8259","-121.7199","224533"
"Tuscaloosa","Tuscaloosa","Tuscaloosa County","01125","AL","Alabama","33.2896","-87.5251","223945"
"Jackson","Jackson","Jackson County","41029","OR","Oregon","42.4322","-122.7285","221662"
"Cabarrus","Cabarrus","Cabarrus County","37025","NC","North Carolina","35.3868","-80.5519","221200"
"Shelby","Shelby","Shelby County","01117","AL","Alabama","33.2643","-86.6607","220780"
"Doña Ana","Dona Ana","Doña Ana County","35013","NM","New Mexico","32.3526","-106.8328","218157"
"Butte","Butte","Butte County","06007","CA","California","39.6669","-121.6007","217884"
"Yolo","Yolo","Yolo County","06113","CA","California","38.6866","-121.9016","216703"
"Clay","Clay","Clay County","12019","FL","Florida","29.9831","-81.8579","216308"
