Location,FIPS,"Mortality Rate, 1980*","Mortality Rate, 1985*","Mortality Rate, 1990*","Mortality Rate, 1995*","Mortality Rate, 2000*","Mortality Rate, 2005*","Mortality Rate, 2010*","Mortality Rate, 2014*","% Change in Mortality Rate, 1980-2014"
"Cherokee County, Alabama",1019,"40.34 (37.10, 43.88)","44.58 (41.33, 47.83)","50.05 (46.94, 53.34)","59.97 (56.58, 63.59)","72.05 (68.19, 75.96)","78.57 (74.46, 82.81)","84.92 (80.56, 89.77)","93.04 (87.64, 98.97)","130.66 (109.26, 154.83)"
"Chilton County, Alabama",1021,"40.97 (37.81, 44.42)","45.27 (42.32, 48.43)","52.12 (49.20, 55.23)","60.66 (57.33, 64.30)","70.90 (67.34, 74.40)","77.00 (73.32, 81.00)","83.88 (79.72, 88.20)","88.02 (83.11, 93.15)","114.85 (93.32, 137.74)"
"Choctaw County, Alabama",1023,"34.44 (31.36, 37.52)","38.57 (35.58, 41.66)","41.90 (38.86, 44.93)","48.83 (45.59, 52.22)","55.85 (52.38, 59.59)","56.48 (52.96, 60.39)","58.57 (54.32, 63.23)","60.19 (55.31, 64.85)","74.76 (55.09, 97.79)"
"Clarke County, Alabama",1025,"42.62 (39.25, 46.18)","47.15 (44.00, 50.40)","50.27 (47.24, 53.26)","57.03 (53.73, 60.05)","63.71 (60.32, 67.34)","67.35 (63.72, 71.02)","66.92 (62.91, 70.89)","69.30 (64.64, 73.89)","62.60 (45.73, 81.98)"
"Clay County, Alabama",1027,"43.58 (39.95, 47.55)","46.51 (43.38, 50.03)","49.73 (46.33, 53.32)","57.27 (53.68, 60.97)","66.61 (62.73, 70.63)","70.60 (66.26, 75.46)","72.86 (67.83, 77.70)","76.28 (70.56, 82.38)","75.05 (55.63, 96.52)"
"Cleburne County, Alabama",1029,"46.01 (42.34, 50.19)","51.16 (47.28, 55.40)","55.35 (51.71, 59.04)","64.10 (60.14, 68.46)","73.54 (69.29, 78.00)","82.10 (76.96, 87.13)","85.65 (80.22, 91.26)","92.84 (86.16, 99.53)","101.80 (79.06, 125.04)"
"Coffee County, Alabama",1031,"46.30 (42.98, 49.88)","50.76 (47.57, 54.19)","55.20 (52.22, 58.40)","63.75 (60.31, 67.18)","72.05 (68.64, 75.51)","75.68 (72.06, 79.27)","76.13 (72.33, 80.01)","79.42 (75.10, 84.10)","71.54 (56.02, 88.41)"
"Colbert County, Alabama",1033,"37.48 (34.59, 40.25)","43.59 (40.88, 46.13)","48.93 (46.21, 51.64)","58.21 (55.38, 61.38)","66.49 (63.46, 69.54)","71.36 (68.07, 74.81)","76.79 (73.27, 80.34)","80.43 (76.26, 84.74)","114.61 (96.30, 135.87)"
"Conecuh County, Alabama",1035,"32.38 (29.12, 35.86)","36.57 (33.35, 39.83)","41.31 (38.20, 44.81)","49.83 (46.28, 53.51)","59.60 (55.30, 63.52)","64.33 (60.33, 68.68)","70.00 (65.35, 74.60)","76.40 (70.80, 82.06)","135.95 (107.66, 166.02)"
"Coosa County, Alabama",1037,"40.62 (36.83, 44.56)","45.77 (42.02, 49.73)","49.78 (46.42, 53.45)","58.03 (54.32, 61.97)","66.70 (62.37, 70.90)","71.21 (66.60, 75.87)","73.67 (68.35, 79.00)","78.67 (72.75, 84.96)","93.67 (70.63, 120.52)"
"Covington County, Alabama",1039,"39.68 (36.92, 42.53)","43.68 (41.03, 46.38)","47.56 (44.88, 50.12)","55.25 (52.45, 58.06)","63.19 (60.03, 66.30)","68.07 (64.83, 71.36)","70.44 (66.92, 74.15)","74.47 (70.34, 78.53)","87.68 (71.21, 106.26)"
"Crenshaw County, Alabama",1041,"49.30 (45.30, 53.34)","55.77 (51.63, 59.87)","63.78 (59.92, 68.04)","73.69 (69.21, 77.80)","85.92 (81.28, 90.55)","93.32 (88.34, 98.58)","99.07 (93.12, 105.04)","107.91 (101.13, 115.58)","118.91 (96.44, 143.44)"
"Cullman County, Alabama",1043,"45.07 (42.12, 48.00)","49.60 (46.82, 52.25)","53.70 (50.93, 56.46)","62.30 (59.55, 65.40)","74.59 (71.35, 78.17)","80.40 (76.97, 84.18)","83.93 (80.14, 87.97)","89.78 (85.41, 94.38)","99.19 (83.45, 116.70)"
"Dale County, Alabama",1045,"43.96 (40.80, 47.11)","48.65 (45.60, 52.13)","53.65 (50.65, 56.84)","64.03 (60.93, 67.52)","74.63 (70.82, 78.09)","80.13 (76.33, 84.13)","81.45 (77.22, 85.79)","84.85 (80.72, 89.71)","93.02 (76.50, 112.73)"
"Dallas County, Alabama",1047,"41.06 (38.06, 44.17)","44.45 (41.63, 47.45)","47.08 (44.47, 50.00)","53.35 (50.41, 56.28)","59.43 (56.39, 62.60)","63.33 (60.07, 66.47)","63.28 (60.04, 66.70)","65.59 (61.91, 69.67)","59.76 (47.04, 75.66)"
"DeKalb County, Alabama",1049,"38.07 (35.42, 40.95)","45.27 (42.60, 47.92)","50.83 (48.24, 53.51)","59.46 (56.58, 62.58)","73.47 (70.24, 76.98)","85.81 (81.79, 89.68)","92.97 (88.75, 97.25)","101.83 (96.98, 106.88)","167.49 (144.94, 193.22)"
"Elmore County, Alabama",1051,"40.99 (38.15, 43.84)","47.32 (44.47, 50.39)","51.61 (48.87, 54.43)","62.14 (59.12, 65.18)","73.04 (69.48, 76.58)","78.85 (75.44, 82.84)","84.14 (80.39, 88.57)","91.25 (86.59, 96.20)","122.64 (103.14, 143.75)"
"Escambia County, Alabama",1053,"39.04 (36.19, 41.90)","42.36 (39.70, 44.90)","46.36 (43.85, 48.82)","53.72 (50.88, 56.69)","60.73 (57.42, 64.29)","63.85 (60.40, 67.53)","65.02 (61.24, 68.67)","67.63 (63.45, 71.87)","73.22 (57.54, 91.12)"
"Etowah County, Alabama",1055,"41.45 (38.99, 43.87)","46.93 (44.68, 49.34)","53.99 (51.50, 56.48)","64.33 (61.56, 67.15)","77.87 (74.77, 81.02)","85.24 (81.60, 88.34)","90.12 (86.34, 93.99)","97.44 (92.63, 101.76)","135.09 (118.05, 152.55)"
"Fayette County, Alabama",1057,"38.99 (35.91, 42.35)","43.84 (40.82, 47.20)","49.24 (46.08, 52.72)","57.81 (54.47, 61.30)","68.41 (64.83, 72.29)","75.32 (70.87, 79.76)","79.95 (75.16, 85.04)","86.07 (80.15, 91.65)","120.77 (96.77, 146.66)"
"Franklin County, Alabama",1059,"42.05 (38.89, 45.44)","48.60 (45.41, 51.82)","55.56 (52.41, 58.80)","66.14 (62.73, 70.02)","78.92 (74.89, 83.08)","87.70 (83.30, 92.25)","97.22 (92.41, 102.35)","104.32 (98.08, 110.81)","148.08 (124.05, 173.44)"
"Geneva County, Alabama",1061,"50.51 (46.60, 54.35)","54.38 (50.95, 57.87)","57.20 (53.79, 60.73)","63.85 (60.40, 67.44)","72.53 (68.74, 76.43)","75.68 (71.99, 79.30)","76.92 (72.89, 81.21)","78.80 (74.01, 83.87)","56.01 (41.27, 72.95)"
"Greene County, Alabama",1063,"33.01 (29.55, 36.43)","37.02 (33.68, 40.51)","40.66 (37.48, 44.05)","46.75 (43.25, 50.45)","52.85 (48.95, 56.87)","54.01 (50.00, 58.28)","54.27 (49.93, 58.97)","57.38 (52.27, 63.00)","73.82 (52.11, 102.27)"
"Hale County, Alabama",1065,"32.40 (29.31, 35.64)","36.07 (33.13, 39.12)","40.18 (37.17, 43.23)","45.88 (42.64, 49.35)","52.65 (48.90, 56.36)","57.00 (52.85, 61.12)","58.53 (53.88, 62.94)","61.15 (55.94, 66.34)","88.71 (67.71, 112.76)"
"Henry County, Alabama",1067,"42.92 (38.97, 47.01)","46.41 (42.57, 50.21)","50.18 (46.63, 53.47)","57.97 (54.30, 61.73)","65.76 (61.86, 70.07)","69.94 (65.78, 74.26)","70.52 (66.32, 75.10)","71.04 (66.37, 76.03)","65.53 (46.79, 85.81)"
"Houston County, Alabama",1069,"44.46 (41.67, 47.38)","47.20 (44.76, 50.05)","49.46 (46.96, 51.94)","57.03 (54.53, 59.81)","65.82 (62.96, 68.95)","66.18 (63.11, 69.14)","66.72 (63.74, 69.78)","66.90 (63.76, 70.48)","50.49 (38.76, 62.90)"
"Jackson County, Alabama",1071,"41.84 (38.86, 45.28)","47.54 (44.45, 50.64)","52.91 (50.14, 55.91)","61.98 (58.74, 65.39)","71.94 (68.81, 75.61)","81.83 (78.27, 85.46)","86.32 (82.27, 90.52)","94.69 (90.10, 99.56)","126.30 (105.98, 148.95)"
"Jefferson County, Alabama",1073,"47.62 (45.63, 49.53)","50.94 (49.23, 52.84)","51.22 (49.64, 52.99)","54.77 (53.06, 56.58)","62.20 (60.36, 64.18)","62.29 (60.37, 64.20)","62.39 (60.48, 64.34)","59.24 (57.15, 61.56)","24.40 (18.09, 30.85)"
"Lamar County, Alabama",1075,"40.37 (36.90, 44.21)","43.82 (40.28, 47.48)","49.06 (45.52, 52.83)","58.57 (54.64, 62.49)","71.39 (67.20, 75.71)","77.61 (73.10, 81.95)","81.18 (76.33, 86.70)","89.17 (83.34, 95.18)","120.87 (96.03, 147.52)"
"Lauderdale County, Alabama",1077,"38.90 (36.58, 41.30)","42.69 (40.31, 44.94)","47.68 (45.19, 50.16)","54.07 (51.62, 56.66)","64.55 (61.73, 67.48)","68.02 (65.25, 71.10)","70.80 (67.45, 74.18)","75.94 (72.29, 79.73)","95.20 (80.95, 112.54)"
"Lawrence County, Alabama",1079,"40.10 (37.03, 43.26)","46.01 (42.91, 49.00)","52.63 (49.41, 55.80)","61.63 (58.39, 65.02)","71.85 (67.98, 75.55)","79.56 (75.63, 83.59)","86.23 (81.64, 90.95)","92.36 (87.01, 97.80)","130.35 (110.41, 154.58)"
"Lee County, Alabama",1081,"35.55 (32.99, 38.13)","39.34 (36.87, 42.00)","43.12 (40.62, 45.61)","52.98 (50.16, 55.78)","61.60 (58.60, 64.42)","66.26 (63.38, 69.30)","67.13 (63.98, 70.38)","74.45 (70.53, 78.39)","109.43 (91.79, 130.12)"
"Limestone County, Alabama",1083,"37.43 (34.74, 40.24)","41.14 (38.48, 43.80)","45.06 (42.60, 47.63)","52.20 (49.56, 55.12)","59.12 (56.30, 62.22)","62.74 (59.75, 65.69)","63.78 (60.75, 67.11)","64.91 (61.58, 68.60)","73.43 (56.76, 91.30)"
"Lowndes County, Alabama",1085,"31.72 (28.59, 34.85)","35.41 (32.46, 38.40)","39.40 (36.30, 42.69)","45.28 (42.08, 48.76)","51.11 (47.62, 54.86)","55.10 (51.05, 59.33)","54.62 (50.07, 59.30)","55.88 (51.07, 61.18)","76.19 (54.49, 102.07)"
"Macon County, Alabama",1087,"28.31 (25.90, 30.70)","30.33 (27.95, 32.83)","32.49 (30.22, 34.83)","36.88 (34.45, 39.55)","41.15 (38.22, 44.14)","43.09 (40.00, 46.52)","43.27 (40.03, 46.75)","45.36 (41.45, 49.43)","60.25 (41.02, 79.50)"
"Madison County, Alabama",1089,"38.34 (36.17, 40.56)","40.46 (38.46, 42.44)","42.52 (40.68, 44.56)","49.71 (47.77, 51.69)","60.67 (58.29, 63.02)","59.64 (57.53, 61.88)","61.85 (59.32, 64.32)","61.87 (59.44, 64.65)","61.36 (50.70, 73.22)"
"Marengo County, Alabama",1091,"37.27 (34.12, 40.69)","40.45 (37.42, 43.55)","43.99 (40.92, 47.02)","49.89 (46.74, 53.28)","55.71 (52.12, 59.29)","59.34 (55.59, 63.15)","60.96 (56.97, 65.20)","62.26 (57.67, 66.81)","67.04 (49.60, 86.96)"
"Marion County, Alabama",1093,"39.42 (36.45, 42.68)","43.94 (41.07, 46.89)","49.09 (46.16, 51.98)","58.71 (55.63, 61.87)","69.32 (65.85, 72.88)","77.06 (73.23, 80.90)","82.38 (77.90, 86.70)","87.77 (82.75, 92.81)","122.64 (102.00, 145.89)"
"Marshall County, Alabama",1095,"38.07 (35.75, 40.64)","43.76 (41.29, 46.31)","51.79 (49.30, 54.28)","62.55 (59.70, 65.67)","77.25 (74.08, 80.48)","90.41 (86.85, 94.07)","98.59 (94.41, 102.59)","105.63 (101.21, 110.23)","177.45 (156.54, 200.32)"
"Mobile County, Alabama",1097,"43.78 (41.77, 45.83)","46.75 (44.90, 48.50)","51.69 (49.85, 53.76)","55.71 (53.62, 57.70)","61.71 (59.69, 63.82)","64.02 (61.73, 66.28)","63.00 (60.76, 65.35)","65.83 (63.37, 68.58)","50.37 (41.50, 59.97)"
"Monroe County, Alabama",1099,"37.31 (34.09, 40.38)","41.01 (37.83, 44.01)","44.01 (40.93, 47.03)","49.79 (46.70, 52.81)","58.31 (54.69, 61.74)","62.58 (58.75, 66.14)","62.51 (58.64, 66.54)","64.72 (60.54, 69.12)","73.47 (56.36, 94.09)"
"Montgomery County, Alabama",1101,"40.18 (38.02, 42.36)","44.33 (42.25, 46.44)","47.91 (45.87, 50.03)","55.99 (53.72, 58.41)","60.44 (58.11, 62.92)","63.80 (61.29, 66.22)","63.27 (60.74, 65.74)","68.04 (65.11, 71.09)","69.35 (57.63, 81.65)"
"Morgan County, Alabama",1103,"39.39 (36.89, 41.98)","43.41 (41.05, 45.92)","48.37 (46.13, 50.86)","55.69 (53.03, 58.48)","64.45 (61.71, 67.43)","71.45 (68.45, 74.68)","74.11 (70.99, 77.39)","76.82 (73.43, 80.48)","95.01 (80.32, 111.15)"
"Perry County, Alabama",1105,"32.38 (29.15, 35.66)","36.89 (33.62, 40.43)","41.55 (38.15, 45.10)","49.88 (46.03, 54.11)","58.44 (54.09, 63.36)","63.00 (58.09, 68.16)","64.71 (59.28, 70.34)","67.18 (61.03, 73.07)","107.48 (83.43, 134.72)"
"Pickens County, Alabama",1107,"33.17 (30.54, 36.25)","36.69 (34.10, 39.35)","40.39 (37.74, 43.09)","47.63 (44.89, 50.49)","55.48 (52.20, 58.61)","59.34 (55.56, 63.11)","61.26 (57.13, 64.98)","63.94 (59.77, 68.31)","92.77 (71.75, 115.00)"
"Pike County, Alabama",1109,"38.97 (35.98, 42.47)","42.61 (39.25, 45.76)","46.14 (43.12, 49.27)","55.10 (51.61, 58.72)","64.65 (60.91, 68.72)","67.69 (63.80, 71.81)","71.34 (67.03, 75.86)","72.77 (67.61, 77.88)","86.72 (67.80, 108.75)"
"Randolph County, Alabama",1111,"34.85 (31.86, 38.02)","39.17 (36.09, 42.38)","42.59 (39.83, 45.56)","51.05 (48.14, 54.28)","60.15 (56.69, 63.53)","64.84 (61.26, 68.43)","69.61 (65.79, 73.66)","73.30 (68.94, 77.95)","110.32 (90.38, 133.64)"
"Russell County, Alabama",1113,"46.28 (43.19, 49.45)","51.35 (48.22, 54.48)","56.33 (53.38, 59.36)","65.56 (62.31, 69.04)","75.98 (72.64, 79.52)","78.39 (74.63, 82.38)","79.13 (75.15, 82.99)","80.35 (76.13, 84.87)","73.62 (58.86, 89.63)"
"Saint Clair County, Alabama",1115,"49.93 (46.65, 53.33)","54.91 (51.79, 58.14)","59.32 (56.03, 62.59)","68.38 (65.17, 71.73)","77.16 (73.85, 80.33)","84.36 (80.84, 87.96)","85.51 (81.48, 89.32)","91.50 (86.92, 96.17)","83.25 (68.81, 99.29)"
"Shelby County, Alabama",1117,"53.40 (50.33, 57.11)","52.81 (49.95, 55.92)","54.33 (51.69, 57.24)","58.20 (55.47, 61.00)","59.47 (56.84, 62.18)","59.18 (56.61, 61.82)","55.00 (52.62, 57.45)","53.63 (50.95, 56.22)","0.43 (-7.29, 8.41)"
"Sumter County, Alabama",1119,"35.98 (32.70, 39.29)","37.62 (34.53, 40.53)","39.29 (36.42, 42.20)","44.63 (41.33, 47.96)","50.12 (46.87, 53.73)","51.99 (48.46, 55.66)","50.70 (46.94, 54.65)","51.49 (47.42, 55.54)","43.09 (27.46, 60.86)"
"Talladega County, Alabama",1121,"40.79 (38.16, 43.34)","46.13 (43.65, 48.68)","52.84 (50.20, 55.68)","62.95 (59.98, 66.12)","72.13 (68.90, 75.45)","78.34 (74.98, 81.97)","82.91 (79.05, 86.81)","89.67 (85.27, 94.39)","119.85 (101.98, 139.61)"
"Tallapoosa County, Alabama",1123,"41.19 (38.22, 44.15)","45.69 (42.79, 48.65)","49.86 (47.00, 52.78)","59.85 (56.75, 62.99)","70.05 (66.28, 73.48)","76.14 (72.56, 79.98)","78.41 (74.48, 82.56)","83.09 (78.53, 87.79)","101.74 (84.06, 122.82)"
"Tuscaloosa County, Alabama",1125,"40.67 (38.14, 43.29)","44.05 (41.70, 46.47)","47.38 (45.02, 49.61)","54.27 (52.06, 56.79)","64.67 (62.02, 67.51)","68.64 (65.90, 71.43)","67.32 (64.66, 70.10)","71.00 (67.71, 74.22)","74.60 (62.63, 87.48)"
"Walker County, Alabama",1127,"54.78 (51.22, 58.08)","59.72 (56.75, 63.01)","65.03 (61.98, 67.91)","76.87 (73.51, 80.42)","92.35 (88.53, 96.13)","102.51 (98.53, 106.66)","110.28 (105.68, 114.89)","119.70 (114.02, 125.35)","118.50 (102.36, 135.83)"
"Washington County, Alabama",1129,"38.53 (35.08, 41.93)","41.91 (38.60, 44.95)","44.90 (41.89, 48.10)","52.15 (48.69, 55.68)","59.92 (56.15, 63.88)","61.34 (57.14, 65.47)","62.62 (57.95, 67.27)","64.48 (59.46, 69.96)","67.38 (48.40, 88.93)"
"Wilcox County, Alabama",1131,"34.68 (31.46, 38.00)","38.38 (35.16, 41.73)","42.52 (39.12, 45.85)","50.11 (46.24, 54.12)","57.12 (52.79, 61.36)","61.97 (57.15, 67.38)","62.43 (57.30, 67.87)","65.03 (59.48, 71.37)","87.54 (67.45, 113.94)"
"Winston County, Alabama",1133,"41.08 (37.45, 44.75)","48.63 (45.08, 52.15)","57.45 (53.82, 61.16)","69.63 (65.86, 73.57)","82.48 (78.25, 86.97)","92.64 (87.98, 97.43)","102.07 (96.68, 107.94)","109.56 (103.27, 116.51)","166.70 (138.05, 200.33)"
Alaska,2,"55.16 (52.34, 58.04)","54.60 (52.37, 57.07)","55.24 (53.20, 57.31)","57.75 (55.72, 59.80)","60.23 (58.17, 62.29)","56.90 (54.87, 58.98)","52.77 (50.78, 54.80)","51.36 (49.19, 53.50)","-6.89 (-12.93, 0.23)"
"Aleutians East Borough, Alaska",2013,"69.24 (55.36, 85.50)","66.03 (54.01, 80.81)","48.59 (41.02, 57.99)","45.10 (38.10, 53.23)","48.21 (41.35, 56.36)","42.34 (36.30, 49.51)","35.45 (29.74, 42.07)","33.95 (27.73, 41.34)","-50.97 (-63.47, -35.45)"
"Aleutians West Census Area, Alaska",2016,"69.24 (55.36, 85.50)","66.03 (54.01, 80.81)","48.59 (41.02, 57.99)","45.10 (38.10, 53.23)","48.21 (41.35, 56.36)","42.34 (36.30, 49.51)","35.45 (29.74, 42.07)","33.95 (27.73, 41.34)","-50.97 (-63.47, -35.45)"
"Anchorage Municipality, Alaska",2020,"55.02 (50.70, 59.64)","53.92 (50.03, 58.08)","53.70 (50.35, 57.24)","55.76 (52.34, 59.34)","56.25 (53.03, 59.72)","52.84 (49.70, 56.16)","48.35 (45.54, 51.61)","46.53 (43.61, 49.67)","-15.42 (-24.11, -4.70)"
"Bethel Census Area, Alaska",2050,"66.19 (57.98, 75.34)","72.67 (64.53, 81.43)","76.66 (68.64, 85.25)","80.89 (73.22, 89.12)","84.81 (76.94, 93.15)","82.62 (74.46, 91.50)","78.32 (69.45, 87.44)","77.79 (68.73, 87.30)","17.53 (-1.86, 41.31)"
"Bristol Bay Borough, Alaska",2060,"61.07 (44.59, 79.78)","62.83 (46.96, 80.56)","54.53 (42.20, 68.33)","62.06 (48.66, 77.44)","74.62 (57.87, 93.30)","71.73 (55.21, 89.82)","66.02 (49.57, 83.23)","58.79 (43.04, 76.21)","-3.74 (-30.82, 37.62)"
"Denali Borough, Alaska",2068,"64.01 (56.81, 71.56)","62.65 (56.27, 69.01)","61.65 (56.11, 67.26)","66.01 (60.09, 71.92)","71.45 (65.29, 77.81)","66.85 (61.03, 72.85)","60.08 (54.54, 65.98)","61.13 (55.14, 67.60)","-4.50 (-18.02, 11.06)"
"Dillingham Census Area, Alaska",2070,"78.41 (67.33, 90.60)","70.05 (62.17, 78.67)","68.89 (61.78, 76.51)","74.18 (67.19, 81.95)","79.71 (72.36, 87.55)","78.47 (70.51, 86.13)","71.43 (64.24, 79.36)","71.15 (62.70, 79.92)","-9.25 (-24.88, 11.06)"
"Fairbanks North Star Borough, Alaska",2090,"45.73 (40.67, 51.03)","47.50 (43.16, 52.07)","49.11 (45.28, 53.25)","53.58 (49.86, 57.41)","57.45 (53.34, 61.46)","55.97 (52.22, 60.10)","53.03 (49.19, 56.77)","54.63 (50.27, 59.20)","19.45 (3.14, 39.80)"
"Haines Borough, Alaska",2100,"40.11 (32.11, 49.23)","45.52 (37.83, 54.86)","46.72 (39.31, 54.89)","53.57 (45.34, 62.36)","61.54 (52.10, 71.71)","59.14 (49.60, 69.21)","54.47 (45.02, 65.08)","51.02 (40.99, 62.07)","27.22 (-5.26, 67.48)"
"Hoonah-Angoon Census Area, Alaska",2105,"43.36 (36.94, 50.72)","42.65 (36.86, 48.71)","42.31 (37.10, 48.11)","44.00 (38.45, 49.51)","46.43 (40.87, 52.45)","43.77 (38.38, 49.55)","39.95 (34.73, 45.49)","38.57 (32.57, 44.62)","-11.03 (-27.31, 6.86)"
"Juneau City and Borough, Alaska",2110,"46.50 (41.29, 52.15)","47.41 (42.83, 52.38)","47.38 (43.30, 51.27)","49.87 (46.13, 53.57)","52.15 (48.48, 55.99)","50.07 (46.18, 54.00)","45.12 (41.41, 49.17)","45.01 (40.46, 49.38)","-3.20 (-18.61, 14.83)"
"Kenai Peninsula Borough, Alaska",2122,"52.95 (48.15, 57.65)","52.68 (48.68, 56.88)","53.81 (50.24, 57.32)","55.76 (52.40, 59.12)","60.30 (57.11, 63.74)","57.25 (54.04, 60.46)","53.86 (50.74, 57.04)","51.15 (48.04, 54.43)","-3.39 (-13.72, 8.91)"
"Ketchikan Gateway Borough, Alaska",2130,"48.67 (43.63, 54.13)","50.78 (46.29, 55.88)","51.71 (47.88, 55.87)","56.16 (52.76, 59.98)","61.33 (57.70, 65.18)","59.00 (55.30, 63.13)","56.67 (52.57, 61.22)","55.50 (50.73, 60.40)","14.02 (-3.25, 33.85)"
"Kodiak Island Borough, Alaska",2150,"56.19 (48.03, 65.45)","54.65 (47.86, 61.86)","55.76 (49.73, 62.51)","59.25 (53.44, 65.24)","60.73 (54.97, 66.88)","59.92 (54.13, 66.21)","54.14 (48.53, 60.25)","50.37 (44.81, 56.60)","-10.36 (-25.81, 8.10)"
"Kusilvak Census Area, Alaska",2158,"107.15 (92.66, 124.92)","107.33 (94.61, 122.34)","108.88 (98.01, 120.75)","114.10 (103.34, 125.88)","124.83 (113.38, 136.50)","119.46 (108.70, 130.80)","124.46 (112.57, 137.68)","115.90 (103.22, 129.57)","8.17 (-10.31, 29.91)"
"Lake and Peninsula Borough, Alaska",2164,"78.41 (67.33, 90.60)","70.05 (62.17, 78.67)","68.89 (61.78, 76.51)","74.18 (67.19, 81.95)","79.71 (72.36, 87.55)","78.47 (70.51, 86.13)","71.43 (64.24, 79.36)","71.15 (62.70, 79.92)","-9.25 (-24.88, 11.06)"
"Matanuska-Susitna Borough, Alaska",2170,"49.37 (45.10, 53.72)","50.99 (47.53, 54.85)","53.40 (50.03, 56.97)","56.16 (53.02, 59.45)","60.61 (57.40, 64.07)","58.54 (55.48, 61.87)","54.53 (51.33, 57.69)","53.46 (50.03, 56.92)","8.27 (-3.45, 21.65)"
"Nome Census Area, Alaska",2180,"74.95 (65.86, 84.55)","74.58 (66.71, 82.87)","73.27 (66.80, 80.72)","78.50 (71.91, 85.67)","86.28 (79.23, 93.89)","79.19 (72.44, 86.42)","73.55 (66.23, 81.53)","72.14 (64.35, 79.94)","-3.75 (-19.52, 14.16)"
"North Slope Borough, Alaska",2185,"126.70 (106.65, 149.96)","108.71 (93.73, 123.72)","99.29 (87.70, 112.13)","97.90 (87.16, 108.26)","101.62 (91.74, 112.33)","98.14 (88.47, 108.05)","87.78 (78.70, 98.42)","89.68 (78.81, 101.26)","-29.22 (-42.13, -11.79)"
