Location,FIPS,"Mortality Rate, 1980*","Mortality Rate, 1985*","Mortality Rate, 1990*","Mortality Rate, 1995*","Mortality Rate, 2000*","Mortality Rate, 2005*","Mortality Rate, 2010*","Mortality Rate, 2014*","% Change in Mortality Rate, 1980-2014"
"Geneva County, Alabama",1061,"3.82 (2.80, 6.10)","4.11 (3.13, 6.18)","4.53 (3.56, 6.33)","5.31 (4.15, 6.82)","6.45 (4.44, 7.90)","7.08 (4.58, 8.78)","7.32 (4.57, 9.27)","7.58 (4.80, 9.71)","98.16 (1.89, 195.80)"
"Greene County, Alabama",1063,"2.98 (2.22, 4.70)","3.34 (2.55, 5.06)","3.81 (2.95, 5.32)","4.61 (3.55, 6.00)","5.73 (3.97, 7.18)","6.25 (4.02, 8.08)","6.41 (4.01, 8.38)","6.81 (4.19, 9.09)","128.45 (19.88, 230.44)"
"Hale County, Alabama",1065,"2.71 (2.05, 4.17)","3.00 (2.29, 4.48)","3.45 (2.70, 4.80)","4.17 (3.27, 5.37)","5.20 (3.58, 6.54)","5.89 (3.73, 7.61)","6.13 (3.76, 8.01)","6.33 (3.89, 8.34)","133.85 (22.39, 241.26)"
"Henry County, Alabama",1067,"4.07 (3.04, 6.18)","4.39 (3.33, 6.49)","4.88 (3.81, 6.53)","5.82 (4.54, 7.29)","7.06 (4.90, 8.88)","7.85 (5.06, 9.98)","7.86 (5.01, 10.09)","7.93 (5.04, 10.54)","94.97 (4.56, 184.69)"
"Houston County, Alabama",1069,"4.15 (3.22, 6.44)","4.49 (3.58, 6.64)","4.92 (4.07, 6.78)","5.92 (4.79, 7.54)","7.35 (5.23, 8.67)","8.05 (5.20, 9.73)","8.34 (5.26, 10.05)","8.56 (5.51, 10.43)","106.14 (14.07, 190.77)"
"Jackson County, Alabama",1071,"2.27 (1.71, 3.71)","2.56 (1.99, 3.94)","2.92 (2.35, 4.09)","3.52 (2.82, 4.48)","4.21 (2.99, 5.17)","4.76 (3.12, 5.99)","4.87 (3.11, 6.18)","5.12 (3.25, 6.65)","125.80 (14.50, 225.64)"
"Jefferson County, Alabama",1073,"3.11 (2.53, 4.75)","3.40 (2.86, 4.97)","3.82 (3.30, 5.18)","4.56 (3.79, 5.66)","5.73 (4.06, 6.50)","6.37 (4.30, 7.34)","6.86 (4.49, 7.95)","6.92 (4.61, 8.13)","122.50 (23.16, 200.70)"
"Lamar County, Alabama",1075,"2.46 (1.77, 4.02)","2.62 (1.94, 4.02)","2.94 (2.28, 4.18)","3.52 (2.64, 4.56)","4.34 (2.91, 5.61)","4.76 (2.97, 6.22)","4.81 (2.80, 6.38)","5.04 (2.90, 6.84)","105.02 (7.55, 207.19)"
"Lauderdale County, Alabama",1077,"3.00 (2.32, 4.69)","3.27 (2.63, 4.75)","3.79 (3.11, 5.20)","4.57 (3.71, 5.75)","5.70 (4.07, 6.75)","6.36 (4.12, 7.69)","6.69 (4.28, 8.20)","7.20 (4.60, 8.80)","140.37 (28.43, 244.07)"
"Lawrence County, Alabama",1079,"2.47 (1.83, 3.95)","2.80 (2.11, 4.25)","3.24 (2.51, 4.56)","3.86 (3.01, 4.95)","4.63 (3.22, 5.77)","5.13 (3.26, 6.55)","5.27 (3.23, 6.81)","5.49 (3.50, 7.20)","121.85 (16.81, 224.76)"
"Lee County, Alabama",1081,"2.85 (2.22, 4.36)","3.08 (2.46, 4.56)","3.43 (2.77, 4.73)","4.11 (3.34, 5.28)","4.93 (3.51, 6.00)","5.42 (3.49, 6.72)","5.42 (3.42, 6.82)","5.90 (3.78, 7.50)","107.41 (10.68, 196.87)"
"Limestone County, Alabama",1083,"2.64 (2.02, 4.19)","2.90 (2.26, 4.36)","3.31 (2.66, 4.60)","3.95 (3.14, 5.16)","4.87 (3.44, 5.91)","5.43 (3.53, 6.61)","5.59 (3.55, 6.97)","5.79 (3.68, 7.26)","119.50 (20.11, 214.68)"
"Lowndes County, Alabama",1085,"2.85 (2.14, 4.29)","3.21 (2.48, 4.66)","3.70 (2.93, 5.01)","4.48 (3.52, 5.72)","5.54 (3.90, 6.91)","6.33 (4.10, 8.04)","6.52 (4.14, 8.38)","6.67 (4.30, 8.70)","133.57 (28.66, 234.64)"
"Macon County, Alabama",1087,"2.67 (2.04, 4.04)","2.88 (2.28, 4.21)","3.22 (2.59, 4.35)","3.80 (3.06, 4.76)","4.62 (3.26, 5.63)","5.07 (3.34, 6.31)","5.12 (3.34, 6.50)","5.26 (3.43, 6.70)","97.07 (4.89, 177.43)"
"Madison County, Alabama",1089,"2.86 (2.23, 4.43)","3.11 (2.51, 4.64)","3.46 (2.90, 4.79)","4.19 (3.49, 5.27)","5.33 (3.80, 6.22)","5.77 (3.80, 6.81)","6.06 (3.96, 7.23)","6.18 (3.96, 7.41)","115.74 (17.46, 201.86)"
"Marengo County, Alabama",1091,"2.82 (2.14, 4.28)","3.04 (2.32, 4.48)","3.38 (2.63, 4.63)","4.04 (3.14, 5.17)","4.89 (3.38, 6.13)","5.52 (3.53, 6.90)","5.74 (3.52, 7.36)","5.89 (3.75, 7.70)","109.20 (13.06, 199.58)"
"Marion County, Alabama",1093,"2.31 (1.72, 3.65)","2.54 (1.96, 3.88)","2.89 (2.30, 3.96)","3.48 (2.76, 4.53)","4.26 (2.94, 5.35)","4.80 (3.11, 6.15)","4.90 (3.09, 6.40)","5.08 (3.14, 6.65)","120.12 (19.21, 223.06)"
"Marshall County, Alabama",1095,"2.34 (1.78, 3.73)","2.54 (2.02, 3.86)","2.93 (2.39, 4.16)","3.48 (2.79, 4.50)","4.22 (2.96, 5.15)","4.76 (3.15, 5.89)","4.94 (3.12, 6.24)","5.11 (3.26, 6.54)","118.05 (18.31, 211.87)"
"Mobile County, Alabama",1097,"3.33 (2.67, 5.06)","3.61 (2.99, 5.23)","4.16 (3.53, 5.58)","4.95 (4.07, 6.14)","6.06 (4.31, 6.96)","6.70 (4.43, 7.77)","7.09 (4.59, 8.28)","7.39 (4.87, 8.77)","121.66 (21.51, 205.46)"
"Monroe County, Alabama",1099,"3.15 (2.36, 4.90)","3.38 (2.61, 5.03)","3.73 (2.88, 5.16)","4.40 (3.41, 5.57)","5.41 (3.70, 6.75)","6.06 (3.93, 7.76)","6.17 (3.89, 8.03)","6.30 (4.00, 8.21)","99.57 (6.49, 189.19)"
"Montgomery County, Alabama",1101,"2.94 (2.33, 4.56)","3.19 (2.60, 4.72)","3.61 (2.99, 5.06)","4.33 (3.53, 5.49)","5.20 (3.59, 6.14)","5.92 (3.93, 7.02)","6.21 (4.03, 7.50)","6.70 (4.36, 8.13)","127.91 (22.32, 214.35)"
"Morgan County, Alabama",1103,"2.24 (1.70, 3.53)","2.44 (1.90, 3.66)","2.77 (2.25, 3.92)","3.29 (2.61, 4.22)","4.03 (2.84, 4.89)","4.53 (2.91, 5.61)","4.73 (3.00, 5.85)","4.86 (3.07, 6.06)","116.88 (15.06, 211.95)"
"Perry County, Alabama",1105,"2.51 (1.84, 3.94)","2.82 (2.14, 4.25)","3.24 (2.47, 4.47)","4.03 (3.09, 5.19)","5.10 (3.56, 6.53)","5.78 (3.78, 7.51)","5.87 (3.69, 7.70)","6.03 (3.87, 8.14)","140.06 (26.53, 251.32)"
"Pickens County, Alabama",1107,"2.72 (2.06, 4.32)","3.00 (2.33, 4.54)","3.40 (2.74, 4.75)","4.16 (3.31, 5.33)","5.11 (3.58, 6.35)","5.70 (3.70, 7.13)","5.84 (3.72, 7.41)","6.03 (3.83, 7.80)","121.52 (16.39, 219.37)"
"Pike County, Alabama",1109,"3.01 (2.25, 4.72)","3.28 (2.55, 4.93)","3.69 (2.92, 5.09)","4.51 (3.58, 5.84)","5.57 (3.90, 6.98)","6.13 (4.03, 7.79)","6.48 (4.07, 8.40)","6.58 (4.26, 8.69)","118.63 (16.06, 216.09)"
"Randolph County, Alabama",1111,"2.29 (1.72, 3.57)","2.52 (1.95, 3.76)","2.82 (2.23, 4.00)","3.40 (2.62, 4.40)","4.14 (2.80, 5.19)","4.49 (2.90, 5.75)","4.64 (2.91, 5.96)","4.74 (2.95, 6.18)","107.18 (9.47, 194.31)"
"Russell County, Alabama",1113,"3.28 (2.51, 5.08)","3.51 (2.74, 5.24)","3.88 (3.08, 5.30)","4.54 (3.62, 5.73)","5.48 (3.81, 6.73)","5.89 (3.82, 7.32)","5.90 (3.73, 7.40)","5.95 (3.82, 7.59)","81.33 (-3.35, 160.48)"
"Saint Clair County, Alabama",1115,"2.42 (1.80, 3.80)","2.63 (2.04, 3.97)","2.95 (2.34, 4.17)","3.49 (2.73, 4.49)","4.15 (2.87, 5.04)","4.68 (3.03, 5.92)","4.82 (3.04, 6.19)","5.11 (3.20, 6.51)","110.88 (10.62, 210.56)"
"Shelby County, Alabama",1117,"2.68 (2.00, 4.40)","2.82 (2.19, 4.33)","3.19 (2.56, 4.46)","3.73 (2.98, 4.78)","4.38 (3.07, 5.31)","4.99 (3.25, 6.14)","5.16 (3.23, 6.42)","5.44 (3.54, 6.80)","102.66 (4.83, 192.76)"
"Sumter County, Alabama",1119,"2.71 (2.02, 4.27)","2.87 (2.20, 4.35)","3.16 (2.46, 4.42)","3.77 (2.94, 4.83)","4.63 (3.22, 5.76)","5.14 (3.32, 6.58)","5.19 (3.31, 6.71)","5.27 (3.40, 6.92)","94.56 (3.76, 178.75)"
"Talladega County, Alabama",1121,"2.56 (1.95, 4.09)","2.80 (2.19, 4.23)","3.17 (2.56, 4.46)","3.78 (3.00, 4.79)","4.50 (3.16, 5.47)","4.93 (3.18, 6.09)","5.10 (3.26, 6.44)","5.35 (3.41, 6.80)","108.82 (9.29, 198.16)"
"Tallapoosa County, Alabama",1123,"2.49 (1.88, 3.92)","2.69 (2.07, 4.07)","2.96 (2.33, 4.13)","3.49 (2.74, 4.52)","4.15 (2.93, 5.16)","4.59 (3.02, 5.80)","4.60 (2.89, 5.93)","4.72 (2.99, 6.18)","89.54 (-2.33, 176.77)"
"Tuscaloosa County, Alabama",1125,"3.37 (2.68, 5.18)","3.73 (3.02, 5.58)","4.17 (3.50, 5.66)","5.08 (4.18, 6.53)","6.33 (4.48, 7.48)","7.04 (4.60, 8.41)","7.22 (4.57, 8.71)","7.65 (4.95, 9.41)","126.85 (19.37, 216.70)"
"Walker County, Alabama",1127,"3.04 (2.32, 4.83)","3.34 (2.61, 5.03)","3.82 (3.11, 5.32)","4.69 (3.74, 6.01)","5.80 (4.05, 7.11)","6.50 (4.20, 8.19)","6.62 (4.20, 8.36)","7.07 (4.53, 9.06)","132.35 (22.39, 234.01)"
"Washington County, Alabama",1129,"2.72 (1.98, 4.28)","3.04 (2.29, 4.51)","3.49 (2.69, 4.83)","4.28 (3.31, 5.60)","5.34 (3.60, 6.80)","5.86 (3.63, 7.54)","6.10 (3.72, 8.04)","6.29 (3.98, 8.28)","131.21 (19.35, 238.66)"
"Wilcox County, Alabama",1131,"2.91 (2.18, 4.52)","3.21 (2.45, 4.81)","3.64 (2.86, 5.14)","4.47 (3.53, 5.85)","5.53 (3.85, 6.83)","6.25 (4.03, 8.03)","6.38 (4.12, 8.31)","6.53 (4.16, 8.64)","124.49 (19.57, 224.62)"
"Winston County, Alabama",1133,"2.46 (1.79, 3.99)","2.74 (2.05, 4.22)","3.15 (2.41, 4.45)","3.82 (2.91, 5.01)","4.61 (3.07, 5.89)","5.18 (3.30, 6.78)","5.39 (3.27, 7.17)","5.57 (3.37, 7.55)","126.12 (16.75, 244.13)"
Alaska,2,"3.48 (2.44, 5.70)","3.56 (2.63, 5.49)","3.89 (3.09, 5.56)","4.46 (3.64, 5.80)","5.32 (3.91, 6.27)","5.79 (3.92, 6.84)","5.94 (3.84, 7.15)","6.16 (3.99, 7.52)","77.34 (-11.89, 180.94)"
"Aleutians East Borough, Alaska",2013,"3.69 (1.74, 7.25)","3.52 (1.73, 6.44)","3.28 (1.78, 5.67)","3.88 (2.17, 6.36)","5.03 (2.65, 8.18)","4.93 (2.54, 8.21)","4.65 (2.29, 7.83)","5.02 (2.34, 8.54)","35.99 (-45.81, 175.23)"
"Aleutians West Census Area, Alaska",2016,"3.69 (1.74, 7.25)","3.52 (1.73, 6.44)","3.28 (1.78, 5.67)","3.88 (2.17, 6.36)","5.03 (2.65, 8.18)","4.93 (2.54, 8.21)","4.65 (2.29, 7.83)","5.02 (2.34, 8.54)","35.99 (-45.81, 175.23)"
"Anchorage Municipality, Alaska",2020,"2.92 (1.88, 5.01)","3.13 (2.18, 4.96)","3.47 (2.58, 5.09)","4.12 (3.19, 5.49)","4.92 (3.42, 6.27)","5.53 (3.63, 7.02)","5.80 (3.66, 7.46)","6.06 (3.81, 7.87)","107.30 (-2.89, 269.36)"
"Bethel Census Area, Alaska",2050,"4.89 (2.79, 8.75)","5.26 (3.19, 8.88)","5.73 (3.63, 9.03)","6.42 (4.23, 9.45)","7.50 (4.76, 10.69)","7.99 (4.67, 11.71)","8.02 (4.46, 12.05)","8.04 (4.40, 12.31)","64.46 (-25.29, 214.17)"
"Bristol Bay Borough, Alaska",2060,"3.48 (1.49, 7.02)","3.62 (1.65, 6.98)","3.46 (1.65, 6.51)","4.55 (2.16, 8.12)","5.84 (2.65, 10.18)","6.39 (2.73, 12.03)","6.35 (2.56, 11.94)","5.88 (2.41, 11.20)","69.14 (-32.86, 267.23)"
"Denali Borough, Alaska",2068,"4.01 (2.53, 6.96)","4.03 (2.66, 6.56)","4.26 (2.96, 6.24)","4.90 (3.50, 6.90)","5.91 (3.91, 7.97)","6.10 (3.82, 8.35)","5.81 (3.53, 8.21)","6.04 (3.57, 8.63)","50.73 (-28.12, 167.18)"
"Dillingham Census Area, Alaska",2070,"5.05 (2.84, 9.21)","4.83 (2.93, 8.21)","5.12 (3.28, 7.98)","5.88 (3.84, 8.53)","7.10 (4.55, 10.20)","7.75 (4.64, 11.68)","7.59 (4.35, 11.53)","7.82 (4.37, 12.00)","54.95 (-30.46, 197.94)"
"Fairbanks North Star Borough, Alaska",2090,"3.68 (2.30, 6.34)","3.86 (2.59, 6.17)","4.17 (3.04, 6.14)","4.73 (3.52, 6.34)","5.55 (3.90, 7.09)","5.96 (3.82, 7.62)","6.01 (3.75, 8.03)","6.33 (3.90, 8.49)","72.08 (-17.55, 209.43)"
"Haines Borough, Alaska",2100,"3.12 (1.73, 5.62)","3.77 (2.19, 6.39)","4.26 (2.64, 6.72)","5.30 (3.37, 7.97)","7.03 (4.32, 10.78)","7.69 (4.25, 11.70)","7.70 (4.13, 12.00)","7.89 (4.26, 12.54)","152.59 (11.52, 385.90)"
"Hoonah-Angoon Census Area, Alaska",2105,"3.71 (2.26, 6.41)","3.77 (2.38, 6.14)","4.05 (2.71, 5.99)","4.65 (3.21, 6.48)","5.68 (3.67, 7.62)","6.04 (3.65, 8.25)","6.06 (3.59, 8.61)","6.13 (3.60, 8.99)","65.43 (-23.15, 192.23)"
"Juneau City and Borough, Alaska",2110,"3.23 (1.92, 5.68)","3.57 (2.24, 5.93)","3.98 (2.71, 5.84)","4.70 (3.34, 6.51)","5.75 (3.79, 7.75)","6.59 (4.04, 9.03)","6.75 (4.05, 9.28)","7.38 (4.36, 10.21)","128.79 (2.18, 321.61)"
"Kenai Peninsula Borough, Alaska",2122,"2.96 (1.91, 4.96)","3.11 (2.14, 4.90)","3.43 (2.55, 4.92)","3.87 (2.95, 5.17)","4.72 (3.36, 5.99)","5.08 (3.33, 6.51)","5.35 (3.38, 6.98)","5.44 (3.43, 7.22)","83.85 (-13.31, 212.68)"
"Ketchikan Gateway Borough, Alaska",2130,"3.38 (2.07, 5.84)","3.62 (2.34, 5.88)","3.96 (2.75, 5.98)","4.69 (3.34, 6.45)","5.80 (3.82, 7.65)","6.39 (3.86, 8.59)","6.67 (3.91, 9.28)","6.85 (4.05, 9.71)","102.89 (-8.47, 265.44)"
"Kodiak Island Borough, Alaska",2150,"3.63 (1.99, 6.57)","3.76 (2.23, 6.55)","4.06 (2.53, 6.53)","4.70 (3.05, 7.17)","5.48 (3.46, 7.92)","6.20 (3.64, 9.10)","6.07 (3.37, 9.11)","5.99 (3.38, 9.08)","65.12 (-24.24, 203.64)"
"Kusilvak Census Area, Alaska",2158,"6.23 (3.56, 11.45)","6.38 (3.90, 10.62)","6.72 (4.27, 10.42)","7.65 (4.97, 11.26)","9.29 (5.72, 13.68)","9.78 (5.69, 14.81)","10.39 (5.72, 15.94)","9.92 (5.22, 15.62)","59.27 (-30.45, 199.47)"
"Lake and Peninsula Borough, Alaska",2164,"5.05 (2.84, 9.21)","4.83 (2.93, 8.21)","5.12 (3.28, 7.98)","5.88 (3.84, 8.53)","7.10 (4.55, 10.20)","7.75 (4.64, 11.68)","7.59 (4.35, 11.53)","7.82 (4.37, 12.00)","54.95 (-30.46, 197.94)"
"Matanuska-Susitna Borough, Alaska",2170,"2.85 (1.87, 4.71)","3.08 (2.15, 4.87)","3.45 (2.54, 4.90)","3.96 (3.05, 5.19)","4.75 (3.31, 5.98)","5.27 (3.37, 6.73)","5.36 (3.39, 6.93)","5.60 (3.47, 7.27)","96.32 (-2.98, 224.92)"
"Nome Census Area, Alaska",2180,"4.43 (2.61, 7.74)","4.43 (2.74, 7.16)","4.58 (3.00, 6.92)","5.25 (3.52, 7.58)","6.36 (4.06, 9.13)","6.46 (3.99, 9.45)","6.31 (3.62, 9.41)","6.42 (3.57, 9.79)","44.88 (-32.05, 164.24)"
"North Slope Borough, Alaska",2185,"6.17 (3.20, 11.51)","5.44 (3.08, 9.58)","5.35 (3.24, 8.54)","5.69 (3.58, 8.82)","6.51 (3.86, 10.01)","6.47 (3.64, 10.43)","5.72 (3.05, 9.23)","5.99 (3.14, 9.94)","-2.88 (-59.15, 100.12)"
